subPathwayID,interaction,pathwayID
R-HSA-8877627,abstraction:IsAComponentOf,R-HSA-6806667
R-HSA-6806664,abstraction:IsAComponentOf,R-HSA-6806667
R-HSA-975634,abstraction:IsAComponentOf,R-HSA-6806667
R-HSA-1296041,abstraction:IsAComponentOf,R-HSA-1296059
R-HSA-190241,abstraction:IsAComponentOf,R-HSA-5654738
R-HSA-5654696,abstraction:IsAComponentOf,R-HSA-5654738
R-HSA-6803529,abstraction:IsAComponentOf,R-HSA-5654738
R-HSA-5654727,abstraction:IsAComponentOf,R-HSA-5654738
R-HSA-9705683,abstraction:IsAComponentOf,R-HSA-9694516
R-HSA-9772573,abstraction:IsAComponentOf,R-HSA-9694516
R-HSA-9772572,abstraction:IsAComponentOf,R-HSA-9694516
R-HSA-9672393,abstraction:IsAComponentOf,R-HSA-9662001
R-HSA-9672391,abstraction:IsAComponentOf,R-HSA-9662001
R-HSA-9672396,abstraction:IsAComponentOf,R-HSA-9662001
R-HSA-9672387,abstraction:IsAComponentOf,R-HSA-9662001
R-HSA-9672395,abstraction:IsAComponentOf,R-HSA-9662001
R-HSA-9672397,abstraction:IsAComponentOf,R-HSA-9662001
R-HSA-9674519,abstraction:IsAComponentOf,R-HSA-9662001
R-HSA-8964208,abstraction:IsAComponentOf,R-HSA-8963691
R-HSA-8963684,abstraction:IsAComponentOf,R-HSA-8963691
R-HSA-162599,abstraction:IsAComponentOf,R-HSA-162587
R-HSA-162594,abstraction:IsAComponentOf,R-HSA-162587
R-HSA-1839122,abstraction:IsAComponentOf,R-HSA-1839124
R-HSA-1839117,abstraction:IsAComponentOf,R-HSA-1839124
R-HSA-1839120,abstraction:IsAComponentOf,R-HSA-1839124
R-HSA-8853336,abstraction:IsAComponentOf,R-HSA-1839124
R-HSA-9840309,abstraction:IsAComponentOf,R-HSA-1660662
R-HSA-9840310,abstraction:IsAComponentOf,R-HSA-1660662
R-HSA-9700649,abstraction:IsAComponentOf,R-HSA-9700206
R-HSA-9725370,abstraction:IsAComponentOf,R-HSA-9700206
R-HSA-9700645,abstraction:IsAComponentOf,R-HSA-9700206
R-HSA-5654219,abstraction:IsAComponentOf,R-HSA-5654687
R-HSA-5654688,abstraction:IsAComponentOf,R-HSA-5654687
R-HSA-5654693,abstraction:IsAComponentOf,R-HSA-5654687
R-HSA-5654689,abstraction:IsAComponentOf,R-HSA-5654687
R-HSA-9662361,abstraction:IsAComponentOf,R-HSA-9659379
R-HSA-9662360,abstraction:IsAComponentOf,R-HSA-9659379
R-HSA-162909,abstraction:IsAComponentOf,R-HSA-162906
R-HSA-162587,abstraction:IsAComponentOf,R-HSA-162906
R-HSA-111997,abstraction:IsAComponentOf,R-HSA-1489509
R-HSA-379398,abstraction:IsAComponentOf,R-HSA-379401
R-HSA-379397,abstraction:IsAComponentOf,R-HSA-379401
R-HSA-5218859,abstraction:IsAComponentOf,R-HSA-5357801
R-HSA-109581,abstraction:IsAComponentOf,R-HSA-5357801
R-HSA-9673163,abstraction:IsAComponentOf,R-HSA-166187
R-HSA-167826,abstraction:IsAComponentOf,R-HSA-166187
R-HSA-113501,abstraction:IsAComponentOf,R-HSA-113510
R-HSA-113507,abstraction:IsAComponentOf,R-HSA-113510
R-HSA-111931,abstraction:IsAComponentOf,R-HSA-111933
R-HSA-111957,abstraction:IsAComponentOf,R-HSA-111933
R-HSA-111932,abstraction:IsAComponentOf,R-HSA-111933
R-HSA-420092,abstraction:IsAComponentOf,R-HSA-373080
R-HSA-419812,abstraction:IsAComponentOf,R-HSA-373080
R-HSA-8941326,abstraction:IsAComponentOf,R-HSA-8878166
R-HSA-8941332,abstraction:IsAComponentOf,R-HSA-8878166
R-HSA-8941333,abstraction:IsAComponentOf,R-HSA-8878166
R-HSA-8939902,abstraction:IsAComponentOf,R-HSA-8878166
R-HSA-5467333,abstraction:IsAComponentOf,R-HSA-4839744
R-HSA-5467337,abstraction:IsAComponentOf,R-HSA-4839744
R-HSA-3928664,abstraction:IsAComponentOf,R-HSA-2682334
R-HSA-3928662,abstraction:IsAComponentOf,R-HSA-2682334
R-HSA-3928663,abstraction:IsAComponentOf,R-HSA-2682334
R-HSA-3928665,abstraction:IsAComponentOf,R-HSA-2682334
R-HSA-1614558,abstraction:IsAComponentOf,R-HSA-1614635
R-HSA-1237112,abstraction:IsAComponentOf,R-HSA-1614635
R-HSA-1614603,abstraction:IsAComponentOf,R-HSA-1614635
R-HSA-2426168,abstraction:IsAComponentOf,R-HSA-1655829
R-HSA-141430,abstraction:IsAComponentOf,R-HSA-141405
R-HSA-9683673,abstraction:IsAComponentOf,R-HSA-9683701
R-HSA-9683610,abstraction:IsAComponentOf,R-HSA-9683701
R-HSA-9683683,abstraction:IsAComponentOf,R-HSA-9683701
R-HSA-9683612,abstraction:IsAComponentOf,R-HSA-9683701
R-HSA-9683686,abstraction:IsAComponentOf,R-HSA-9683701
R-HSA-5637812,abstraction:IsAComponentOf,R-HSA-1643713
R-HSA-5638302,abstraction:IsAComponentOf,R-HSA-1643713
R-HSA-5637815,abstraction:IsAComponentOf,R-HSA-1643713
R-HSA-9693928,abstraction:IsAComponentOf,R-HSA-9645723
R-HSA-9734009,abstraction:IsAComponentOf,R-HSA-9645723
R-HSA-9710421,abstraction:IsAComponentOf,R-HSA-9645723
R-HSA-9027307,abstraction:IsAComponentOf,R-HSA-9018682
R-HSA-2871796,abstraction:IsAComponentOf,R-HSA-2454202
R-HSA-2871809,abstraction:IsAComponentOf,R-HSA-2454202
R-HSA-2730905,abstraction:IsAComponentOf,R-HSA-2454202
R-HSA-2871837,abstraction:IsAComponentOf,R-HSA-2454202
R-HSA-8856825,abstraction:IsAComponentOf,R-HSA-8856828
R-HSA-9706377,abstraction:IsAComponentOf,R-HSA-9682385
R-HSA-9702509,abstraction:IsAComponentOf,R-HSA-9682385
R-HSA-9703465,abstraction:IsAComponentOf,R-HSA-9682385
R-HSA-9703648,abstraction:IsAComponentOf,R-HSA-9682385
R-HSA-9702506,abstraction:IsAComponentOf,R-HSA-9682385
R-HSA-380108,abstraction:IsAComponentOf,R-HSA-375276
R-HSA-388479,abstraction:IsAComponentOf,R-HSA-375276
R-HSA-389397,abstraction:IsAComponentOf,R-HSA-375276
R-HSA-380095,abstraction:IsAComponentOf,R-HSA-375276
R-HSA-444473,abstraction:IsAComponentOf,R-HSA-375276
R-HSA-444821,abstraction:IsAComponentOf,R-HSA-375276
R-HSA-418889,abstraction:IsAComponentOf,R-HSA-5357769
R-HSA-140534,abstraction:IsAComponentOf,R-HSA-5357769
R-HSA-68911,abstraction:IsAComponentOf,R-HSA-453274
R-HSA-69275,abstraction:IsAComponentOf,R-HSA-453274
R-HSA-9664407,abstraction:IsAComponentOf,R-HSA-9658195
R-HSA-9664420,abstraction:IsAComponentOf,R-HSA-9658195
R-HSA-9664433,abstraction:IsAComponentOf,R-HSA-9658195
R-HSA-9664424,abstraction:IsAComponentOf,R-HSA-9658195
R-HSA-450294,abstraction:IsAComponentOf,R-HSA-975871
R-HSA-937039,abstraction:IsAComponentOf,R-HSA-975871
R-HSA-445989,abstraction:IsAComponentOf,R-HSA-975871
R-HSA-937042,abstraction:IsAComponentOf,R-HSA-975871
R-HSA-381183,abstraction:IsAComponentOf,R-HSA-381033
R-HSA-9764790,abstraction:IsAComponentOf,R-HSA-9764560
R-HSA-9764725,abstraction:IsAComponentOf,R-HSA-9764560
R-HSA-9820965,abstraction:IsAComponentOf,R-HSA-9820952
R-HSA-9833110,abstraction:IsAComponentOf,R-HSA-9820952
R-HSA-9820960,abstraction:IsAComponentOf,R-HSA-9820952
