pathwayID,entity
R-HSA-9027276,reactome:SmallMolecule12
R-HSA-9027276,reactome:SmallMolecule246
R-HSA-9027276,reactome:SmallMolecule247
R-HSA-9027276,reactome:SmallMolecule13
R-HSA-9027276,reactome:Protein12658
R-HSA-8964043,reactome:Protein28470
R-HSA-8964043,reactome:Protein7147
R-HSA-8964043,reactome:Protein28491
R-HSA-8964043,reactome:Protein28492
R-HSA-8964043,reactome:Protein28485
R-HSA-8964043,reactome:Protein28465
R-HSA-8964043,reactome:Protein3636
R-HSA-8964043,reactome:SmallMolecule3053
R-HSA-8964043,reactome:SmallMolecule3054
R-HSA-8964043,reactome:Protein28478
R-HSA-8964043,reactome:SmallMolecule2632
R-HSA-8964043,reactome:PhysicalEntity1513
R-HSA-8964043,reactome:Protein28479
R-HSA-8964043,reactome:SmallMolecule166
R-HSA-8964043,reactome:SmallMolecule3049
R-HSA-8964043,reactome:Protein28477
R-HSA-8964043,reactome:SmallMolecule25
R-HSA-8964043,reactome:SmallMolecule3055
R-HSA-8964043,reactome:SmallMolecule1537
R-HSA-8964043,reactome:Protein28484
R-HSA-8964043,reactome:SmallMolecule3051
R-HSA-8964043,reactome:SmallMolecule3052
R-HSA-8964043,reactome:SmallMolecule135
R-HSA-8964043,reactome:Protein28480
R-HSA-8964043,reactome:Protein3639
R-HSA-8964043,reactome:Protein28483
R-HSA-8964043,reactome:Protein4292
R-HSA-8964043,reactome:Protein4116
R-HSA-8964043,reactome:Protein28490
R-HSA-8964043,reactome:SmallMolecule372
R-HSA-8964043,reactome:SmallMolecule371
R-HSA-8964043,reactome:SmallMolecule370
R-HSA-8964043,reactome:SmallMolecule373
R-HSA-8964043,reactome:Protein28461
R-HSA-1474151,reactome:SmallMolecule3733
R-HSA-1474151,reactome:SmallMolecule642
R-HSA-1474151,reactome:SmallMolecule4805
R-HSA-1474151,reactome:SmallMolecule102
R-HSA-1474151,reactome:SmallMolecule52
R-HSA-1474151,reactome:SmallMolecule55
R-HSA-1474151,reactome:SmallMolecule4801
R-HSA-1474151,reactome:SmallMolecule4802
R-HSA-1474151,reactome:SmallMolecule4803
R-HSA-1474151,reactome:SmallMolecule469
R-HSA-1474151,reactome:SmallMolecule4685
R-HSA-1474151,reactome:SmallMolecule4804
R-HSA-1474151,reactome:SmallMolecule48
R-HSA-1474151,reactome:SmallMolecule1784
R-HSA-1474151,reactome:SmallMolecule12
R-HSA-1474151,reactome:SmallMolecule13
R-HSA-1474151,reactome:Protein11063
R-HSA-1474151,reactome:SmallMolecule627
R-HSA-1474151,reactome:SmallMolecule4430
R-HSA-1474151,reactome:PhysicalEntity1651
R-HSA-1474151,reactome:SmallMolecule25
R-HSA-1474151,reactome:SmallMolecule75
R-HSA-1474151,reactome:SmallMolecule4012
R-HSA-1474151,reactome:SmallMolecule654
R-HSA-434313,reactome:SmallMolecule12
R-HSA-434313,reactome:SmallMolecule3055
R-HSA-434313,reactome:SmallMolecule135
R-HSA-434313,reactome:SmallMolecule26
R-HSA-434313,reactome:SmallMolecule28
R-HSA-434313,reactome:SmallMolecule3669
R-HSA-434313,reactome:Protein29886
R-HSA-434313,reactome:SmallMolecule3802
R-HSA-434313,reactome:Protein4289
R-HSA-174411,reactome:SmallMolecule22
R-HSA-174411,reactome:SmallMolecule4
R-HSA-174411,reactome:SmallMolecule17
R-HSA-174411,reactome:SmallMolecule5
R-HSA-174411,reactome:Protein8470
R-HSA-174411,reactome:Protein8471
R-HSA-174411,reactome:Protein8472
R-HSA-174411,reactome:Protein8469
R-HSA-174411,reactome:Protein31080
R-HSA-174411,reactome:Protein31081
R-HSA-174411,reactome:Protein31079
R-HSA-1912399,reactome:SmallMolecule2425
R-HSA-1912399,reactome:Protein23410
R-HSA-1912399,reactome:Protein23411
R-HSA-1912399,reactome:SmallMolecule917
R-HSA-1912399,reactome:Protein23416
R-HSA-1912399,reactome:SmallMolecule901
R-HSA-1912399,reactome:SmallMolecule902
R-HSA-1912399,reactome:Protein23417
R-HSA-1912399,reactome:Protein23422
R-HSA-3656253,reactome:Protein18526
R-HSA-3656253,reactome:SmallMolecule881
R-HSA-3656253,reactome:SmallMolecule916
R-HSA-3656253,reactome:Protein18539
R-HSA-3656253,reactome:Protein18506
R-HSA-400508,reactome:Protein8071
R-HSA-400508,reactome:Protein8081
