"pathwayID","entityID"
"R-HSA-9027276",
"R-HSA-9027276","P01588"
"R-HSA-9027276","P07948"
"R-HSA-9027276","O60674"
"R-HSA-9027276","P19235"
"R-HSA-9027276","Q9Y4H2"
"R-HSA-9027276","Q13480"
"R-HSA-8964043","P98155"
"R-HSA-8964043","Q8NBP7"
"R-HSA-8964043","Q00610"
"R-HSA-8964043","P09496"
"R-HSA-8964043","P53680"
"R-HSA-8964043","Q96CW1"
"R-HSA-8964043","P63010"
"R-HSA-8964043",
"R-HSA-8964043","Q8WY64"
"R-HSA-8964043","P01130"
"R-HSA-8964043","P04114"
"R-HSA-8964043","P61916"
"R-HSA-8964043","O15118"
"R-HSA-8964043","P38571"
"R-HSA-8964043","Q6UWW8"
"R-HSA-8964043","Q86X29"
"R-HSA-8964043","Q5SW96"
"R-HSA-8964043","Q6PIU2"
"R-HSA-8964043","P02647"
"R-HSA-8964043","Q9BXJ7"
"R-HSA-8964043","O60494"
"R-HSA-8964043","Q00341"
"R-HSA-8964043","Q0VD83"
"R-HSA-8964043","P55056"
"R-HSA-8964043","P02654"
"R-HSA-8964043","P02649"
"R-HSA-8964043","P11150"
"R-HSA-1474151","P31749"
"R-HSA-1474151","P29474"
"R-HSA-1474151","P07900"
"R-HSA-1474151","P0DP23"
"R-HSA-1474151",
"R-HSA-1474151","P00374"
"R-HSA-1474151","Q03393"
"R-HSA-1474151","P35270"
"R-HSA-1474151","Q13237"
"R-HSA-1474151","P30047"
"R-HSA-1474151","P30793"
"R-HSA-434313",
"R-HSA-434313","P16671"
"R-HSA-174411","P54274"
"R-HSA-174411","Q9BSI4"
"R-HSA-174411","Q15554"
"R-HSA-174411","Q9NYB0"
"R-HSA-174411","Q96AP0"
"R-HSA-174411","Q9NUX5"
"R-HSA-174411","P12004"
"R-HSA-174411",
"R-HSA-174411","Q9BVC3"
"R-HSA-174411","Q8WVB6"
"R-HSA-174411","P0CG13"
"R-HSA-174411","P35250"
"R-HSA-174411","P40937"
"R-HSA-174411","P35249"
"R-HSA-174411","P40938"
"R-HSA-174411","Q2NKJ3"
"R-HSA-174411","Q9H668"
"R-HSA-174411","Q86WV5"
"R-HSA-174411","P09884"
"R-HSA-174411","P49643"
"R-HSA-174411","P49642"
"R-HSA-174411","Q14181"
"R-HSA-174411","P28340"
"R-HSA-174411","Q9HCU8"
"R-HSA-174411","P49005"
"R-HSA-174411","Q15054"
"R-HSA-1912399",
"R-HSA-1912399","Q9H488"
"R-HSA-1912399","Q8NBL1"
"R-HSA-3656253",
"R-HSA-3656253","Q93063"
"R-HSA-400508",
"R-HSA-400508","P27487"
"R-HSA-400508","P01275"
"R-HSA-400508","Q15005"
"R-HSA-400508","Q9Y6A9"
"R-HSA-400508","Q9BY50"
"R-HSA-400508","P61009"
"R-HSA-400508","P67812"
"R-HSA-400508","Q8TDV5"
"R-HSA-400508","Q9P2W3"
"R-HSA-400508","A8MTJ3"
"R-HSA-400508","O14842"
"R-HSA-400508","P07492"
"R-HSA-400508","P41159"
"R-HSA-400508","Q5NUL3"
"R-HSA-400508","Q99626"
"R-HSA-400508","P26367"
"R-HSA-400508","P29120"
"R-HSA-400508","P09681"
"R-HSA-400508","P61371"
"R-HSA-400508","P43694"
"R-HSA-9750126",
"R-HSA-429947",
"R-HSA-429947","P23588"
"R-HSA-429947","P06730"
"R-HSA-429947","P11940"
"R-HSA-429947","Q9H074"
"R-HSA-429947","Q04637"
"R-HSA-429947","O95453"
"R-HSA-429947","O95628"
"R-HSA-429947","O75175"
"R-HSA-429947","Q9NZN8"
"R-HSA-429947","A5YKK6"
"R-HSA-429947","Q92600"
"R-HSA-429947","Q9H9A5"
"R-HSA-429947","Q9C0C2"
"R-HSA-429947","Q9UKZ1"
"R-HSA-429947","Q58A45"
"R-HSA-429947","Q504Q3"
"R-HSA-72649","P47813"
"R-HSA-72649","P23588"
"R-HSA-72649","Q14240"
"R-HSA-72649","P60842"
"R-HSA-72649","P06730"
"R-HSA-72649","Q04637"
"R-HSA-72649","Q15056"
"R-HSA-72649","O75822"
"R-HSA-72649","O00303"
"R-HSA-72649","O15372"
"R-HSA-72649","O15371"
"R-HSA-72649","P60228"
"R-HSA-72649","Q9UBQ5"
"R-HSA-72649","O75821"
"R-HSA-72649","Q9Y262"
"R-HSA-72649","Q7L2H7"
"R-HSA-72649","Q13347"
"R-HSA-72649","Q14152"
"R-HSA-72649","P55884"
"R-HSA-72649","Q99613"
"R-HSA-72649","P05198"
"R-HSA-72649","P41091"
"R-HSA-72649","P20042"
"R-HSA-72649","P62273"
"R-HSA-72649","P63220"
"R-HSA-72649","P60866"
"R-HSA-72649","P62277"
"R-HSA-72649","P62241"
"R-HSA-72649","P39019"
"R-HSA-72649","P08708"
"R-HSA-72649","P62263"
"R-HSA-72649","P15880"
"R-HSA-72649","P62244"
"R-HSA-72649","P62851"
"R-HSA-72649","P62266"
"R-HSA-72649","P62857"
"R-HSA-72649","P23396"
"R-HSA-72649","P46781"
"R-HSA-72649","P61247"
"R-HSA-72649","P62861"
"R-HSA-72649","P08865"
"R-HSA-72649","P46782"
"R-HSA-72649","P62081"
"R-HSA-72649","P62269"
"R-HSA-72649","P25398"
"R-HSA-72649","P62249"
"R-HSA-72649","P62854"
"R-HSA-72649","P62847"
"R-HSA-72649","P62753"
"R-HSA-72649","P46783"
"R-HSA-72649","P62841"
"R-HSA-72649","P62280"
"R-HSA-72649","P62979"
"R-HSA-72649","P11940"
"R-HSA-193648",
"R-HSA-193648","Q92934"
"R-HSA-193648","O43521"
"R-HSA-193648","P45983"
"R-HSA-193648","P63000"
"R-HSA-193648","P08138"
"R-HSA-193648","P01138"
"R-HSA-193648","Q9Y5V3"
"R-HSA-193648","Q9NY61"
"R-HSA-9702998",
"R-HSA-5654227","P19174"
"R-HSA-5654227",
"R-HSA-111458","P55211"
"R-HSA-111458","O14727"
"R-HSA-111458","P99999"
"R-HSA-111458","Q9NQS1"
"R-HSA-111458","Q96GX9"
"R-HSA-111458","Q9Y2G2"
"R-HSA-111458",
"R-HSA-111458","Q9BZF9"
"R-HSA-111458","P98170"
"R-HSA-111458","Q9NR28"
"R-HSA-977443",
"R-HSA-977443","Q9Y639"
"R-HSA-977443","P38405"
"R-HSA-977443","O75899"
"R-HSA-977443","Q9UBS5"
"R-HSA-3000484","Q14162"
"R-HSA-3000484",
"R-HSA-1855167",
"R-HSA-1855167","Q13572"
"R-HSA-1855167","Q9NZJ9"
"R-HSA-1855167","Q9H8X2"
"R-HSA-9702569",
"R-HSA-425410",
"R-HSA-425410","Q6XR72"
"R-HSA-425410","Q9BQS7"
"R-HSA-425410","Q9NP59"
"R-HSA-425410","Q6ZMH5"
"R-HSA-425410","Q9ULF5"
"R-HSA-425410","Q92504"
"R-HSA-425410","Q9BRI3"
"R-HSA-425410","Q8TAD4"
"R-HSA-425410","Q8IWU4"
"R-HSA-425410","Q9Y6M5"
"R-HSA-425410","Q8IVB4"
"R-HSA-425410","Q71RS6"
"R-HSA-425410","Q6J4K2"
"R-HSA-425410","P0DP23"
"R-HSA-425410","P30626"
"R-HSA-425410","P00450"
"R-HSA-425410","O15431"
"R-HSA-425410","P49279"
"R-HSA-425410","P49281"
"R-HSA-166665","P01031"
"R-HSA-166665","P07360"
"R-HSA-166665","P07358"
"R-HSA-166665","P07357"
"R-HSA-166665","P10643"
"R-HSA-166665","P13671"
"R-HSA-166665","P02748"
"R-HSA-166665","P10909"
"R-HSA-73887","Q9UKN5"
"R-HSA-73887","P08138"
"R-HSA-73887","P01138"
"R-HSA-73887",
"R-HSA-73887","Q92542"
"R-HSA-73887","Q9NZ42"
"R-HSA-73887","Q04206"
"R-HSA-73887","P19838"
"R-HSA-73887","Q9Y4K3"
"R-HSA-73887","P78536"
"R-HSA-73887","Q17R88"
"R-HSA-73887","Q96FE5"
"R-HSA-73887","P52565"
"R-HSA-73887","P61586"
"R-HSA-73887","P10911"
"R-HSA-73887","Q92934"
"R-HSA-73887","O43521"
"R-HSA-73887","P45983"
"R-HSA-73887","P63000"
"R-HSA-73887","Q9Y5V3"
"R-HSA-73887","Q9NY61"
"R-HSA-73887","Q00994"
"R-HSA-73887","P62258"
"R-HSA-73887","Q13352"
"R-HSA-73887","Q13501"
"R-HSA-73887","P25963"
"R-HSA-73887","O14920"
"R-HSA-73887","P51617"
"R-HSA-73887","Q99836"
"R-HSA-73887","P41743"
"R-HSA-73887","O43353"
"R-HSA-73887","O60906"
"R-HSA-73887","P50591"
"R-HSA-73887","Q13158"
"R-HSA-73887","Q14790"
"R-HSA-73887","O15519"
"R-HSA-73887","Q92851"
"R-HSA-73887","Q9UBN6"
"R-HSA-73887","Q15750"
"R-HSA-73887","O43318"
"R-HSA-73887","Q12933"
"R-HSA-73887","Q15628"
"R-HSA-73887","Q13546"
"R-HSA-73887","Q9H0F6"
"R-HSA-73887","Q9BYM8"
"R-HSA-73887","Q96EP0"
"R-HSA-73887","O15111"
"R-HSA-73887","Q9Y6K9"
"R-HSA-73887","Q96CV9"
"R-HSA-73887","P63244"
"R-HSA-73887","Q13077"
"R-HSA-73887","P01375"
"R-HSA-73887","P16767"
"R-HSA-73887","Q96AX9"
"R-HSA-73887","Q9NQC7"
"R-HSA-73887","Q9UM82"
"R-HSA-73887","O95429"
"R-HSA-73887","P19438"
"R-HSA-73887","P21580"
"R-HSA-73887","Q86VP1"
"R-HSA-73887","P68036"
"R-HSA-73887","P51668"
"R-HSA-73887","P62837"
"R-HSA-73887","Q96BN8"
"R-HSA-73887","P49137"
"R-HSA-73887","Q9UNE7"
"R-HSA-73887","P61077"
"R-HSA-73887","Q96DZ5"
"R-HSA-73887","O75385"
"R-HSA-73887","Q92636"
"R-HSA-73887","P48023"
"R-HSA-73887","P25445"
"R-HSA-1234176","Q16665"
"R-HSA-1234176",
"R-HSA-1234176","Q9Y2N7"
"R-HSA-1234176","P62877"
"R-HSA-1234176","Q15370"
"R-HSA-1234176","Q15369"
"R-HSA-1234176","P40337"
"R-HSA-1234176","Q13617"
"R-HSA-1234176","Q99814"
"R-HSA-1234176","P20618"
"R-HSA-1234176","P28072"
"R-HSA-1234176","P49721"
"R-HSA-1234176","P28074"
"R-HSA-1234176","P28070"
"R-HSA-1234176","P49720"
"R-HSA-1234176","Q99436"
"R-HSA-1234176","P25786"
"R-HSA-1234176","P25787"
"R-HSA-1234176","P25789"
"R-HSA-1234176","P60900"
"R-HSA-1234176","O14818"
"R-HSA-1234176","P28066"
"R-HSA-1234176","P25788"
"R-HSA-1234176","O43242"
"R-HSA-1234176","P60896"
"R-HSA-1234176","Q15008"
"R-HSA-1234176","O00231"
"R-HSA-1234176","Q9UNM6"
"R-HSA-1234176","O00487"
"R-HSA-1234176","P51665"
"R-HSA-1234176","O00232"
"R-HSA-1234176","P48556"
"R-HSA-1234176","Q99460"
"R-HSA-1234176","P17980"
"R-HSA-1234176","P62333"
"R-HSA-1234176","Q13200"
"R-HSA-1234176","P35998"
"R-HSA-1234176","P62191"
"R-HSA-1234176","Q16186"
"R-HSA-1234176","P43686"
"R-HSA-1234176","P62195"
"R-HSA-5358346","A7MBM2"
"R-HSA-5358346",
"R-HSA-5358346","P78536"
"R-HSA-5358346","P78333"
"R-HSA-5358346","Q6P988"
"R-HSA-5358346","Q9NQ36"
"R-HSA-5358346","Q86TM6"
"R-HSA-5358346","Q9UBV2"
"R-HSA-5358346","P55072"
"R-HSA-5358346","Q9GZP9"
"R-HSA-5358346","P20618"
"R-HSA-5358346","P28072"
"R-HSA-5358346","P49721"
"R-HSA-5358346","P28074"
"R-HSA-5358346","P28070"
"R-HSA-5358346","P49720"
"R-HSA-5358346","Q99436"
"R-HSA-5358346","P25786"
"R-HSA-5358346","P25787"
"R-HSA-5358346","P25789"
"R-HSA-5358346","P60900"
"R-HSA-5358346","O14818"
"R-HSA-5358346","P28066"
"R-HSA-5358346","P25788"
"R-HSA-5358346","O43242"
"R-HSA-5358346","P60896"
"R-HSA-5358346","Q15008"
"R-HSA-5358346","O00231"
"R-HSA-5358346","Q9UNM6"
"R-HSA-5358346","O00487"
"R-HSA-5358346","P51665"
"R-HSA-5358346","O00232"
"R-HSA-5358346","P48556"
"R-HSA-5358346","Q99460"
"R-HSA-5358346","P17980"
"R-HSA-5358346","P62333"
"R-HSA-5358346","Q13200"
"R-HSA-5358346","P35998"
"R-HSA-5358346","P62191"
"R-HSA-5358346","Q16186"
"R-HSA-5358346","P43686"
"R-HSA-5358346","P62195"
"R-HSA-5358346","P07237"
"R-HSA-5358346","Q5VTY9"
"R-HSA-5669034",
"R-HSA-5669034","Q9HAV5"
"R-HSA-5669034","P32971"
"R-HSA-5669034","P28908"
"R-HSA-5669034","Q9Y5U5"
"R-HSA-5669034","Q9UNG2"
"R-HSA-5669034","Q8WWZ3"
"R-HSA-5669034","Q9UNE0"
"R-HSA-5669034","Q92838"
"R-HSA-5669034","Q07011"
"R-HSA-5669034","P41273"
"R-HSA-5669034","P32970"
"R-HSA-5669034","P26842"
"R-HSA-5669034","P43489"
"R-HSA-5669034","P23510"
"R-HSA-5669034","P01374"
"R-HSA-5669034","O95407"
"R-HSA-5669034","O00300"
"R-HSA-5669034","Q93038"
"R-HSA-5669034","O95150"
"R-HSA-2408499",
"R-HSA-209931",
"R-HSA-209931","Q16613"
"R-HSA-209931","P46597"
"R-HSA-209931","P20711"
"R-HSA-8852405","P26927"
"R-HSA-8852405",
"R-HSA-8852405","P05981"
"R-HSA-8852405","Q04912"
"R-HSA-9673221",
"R-HSA-9673221","P14770"
"R-HSA-9673221","P40197"
"R-HSA-9673221","P13224"
"R-HSA-9673221","P07359"
"R-HSA-9673221","P03951"
"R-HSA-629587",
"R-HSA-1980143","P46531"
"R-HSA-1980143","Q8NFT8"
"R-HSA-1980143",
"R-HSA-1980143","P78504"
"R-HSA-1980143","Q92542"
"R-HSA-1980143","Q9NZ42"
"R-HSA-1980143","Q96J02"
"R-HSA-1980143","Q12860"
"R-HSA-1980143","O00548"
"R-HSA-1980143","P80370"
"R-HSA-1980143","P49757"
"R-HSA-1980143","Q9NR61"
"R-HSA-1980143","Q9Y219"
"R-HSA-1980143","P62877"
"R-HSA-1980143","Q13616"
"R-HSA-1980143","P63208"
"R-HSA-1980143","Q06330"
"R-HSA-1980143","Q13573"
"R-HSA-1980143","Q14469"
"R-HSA-1980143","Q09472"
"R-HSA-1980143","Q92793"
"R-HSA-1980143","P24863"
"R-HSA-1980143","P49336"
"R-HSA-1980143","Q8NFP9"
"R-HSA-1980143","Q5TA89"
"R-HSA-1980143","P01106"
"R-HSA-1980143","Q16665"
"R-HSA-5655253","Q13480"
"R-HSA-5655253","P27986"
"R-HSA-5655253","Q8WU20"
"R-HSA-5655253",
"R-HSA-5655253","P13984"
"R-HSA-5655253","P35269"
"R-HSA-5655253","P62487"
"R-HSA-5655253","O15514"
"R-HSA-5655253","P19388"
"R-HSA-5655253","P19387"
"R-HSA-5655253","P62875"
"R-HSA-5655253","P52434"
"R-HSA-5655253","P53803"
"R-HSA-5655253","P24928"
"R-HSA-5655253","P52435"
"R-HSA-5655253","P61218"
"R-HSA-5655253","P36954"
"R-HSA-5655253","P30876"
