source,interaction,target,weight
R-HSA-1474151,abstraction:NextStepPathway,R-HSA-9009391,0.010262094870034922
R-HSA-1474151,abstraction:NextStepPathway,R-HSA-203615,0.014739997348072506
R-HSA-1474151,abstraction:NextStepPathway,R-HSA-5218920,0.012032860838899465
R-HSA-434313,abstraction:NextStepPathway,R-HSA-200425,0.0012371752898871354
R-HSA-174411,abstraction:NextStepPathway,R-HSA-174414,0.012129911266935467
R-HSA-1912399,abstraction:NextStepPathway,R-HSA-1912420,0.0006606851251600974
R-HSA-429947,abstraction:NextStepPathway,R-HSA-9820865,0.00841945640451313
R-HSA-429947,abstraction:NextStepPathway,R-HSA-429958,0.0008743857565341009
R-HSA-429947,abstraction:NextStepPathway,R-HSA-430039,0.0009191246281840124
R-HSA-72649,abstraction:NextStepPathway,R-HSA-72702,0.05088019993253126
R-HSA-72649,abstraction:NextStepPathway,R-HSA-156827,0.04475445218237489
R-HSA-5654227,abstraction:NextStepPathway,R-HSA-2029485,0.004095172675587962
R-HSA-5654227,abstraction:NextStepPathway,R-HSA-5218921,0.002661286984361216
R-HSA-5654227,abstraction:NextStepPathway,R-HSA-1489509,0.0025873819733911235
R-HSA-111458,abstraction:NextStepPathway,R-HSA-9627069,0.013842013158048712
R-HSA-111458,abstraction:NextStepPathway,R-HSA-111459,0.00616854720462421
R-HSA-977443,abstraction:NextStepPathway,R-HSA-1236394,0.0014485049639363452
R-HSA-1855167,abstraction:NextStepPathway,R-HSA-1855184,0.0017346871057381075
R-HSA-1855167,abstraction:NextStepPathway,R-HSA-5675482,0.0015501587632232611
R-HSA-1855167,abstraction:NextStepPathway,R-HSA-1855229,0.00031535106527148923
R-HSA-425410,abstraction:NextStepPathway,R-HSA-1222556,0.0008562836114588124
R-HSA-425410,abstraction:NextStepPathway,R-HSA-917937,0.004032781539540973
R-HSA-425410,abstraction:NextStepPathway,R-HSA-6803544,0.0010458972648032853
R-HSA-166665,abstraction:NextStepPathway,R-HSA-977606,0.007361897321575523
R-HSA-5358346,abstraction:NextStepPathway,R-HSA-5362798,0.00427618411011116
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-2408508,0.0025206144531464358
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-5263617,0.002371647176117553
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-2408550,0.001927214251724302
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-2408552,0.002628171469875614
R-HSA-209931,abstraction:NextStepPathway,R-HSA-181429,0.0010641595489761274
R-HSA-9707587,abstraction:NextStepPathway,R-HSA-917937,4.566928716258918e-06
R-HSA-9707587,abstraction:NextStepPathway,R-HSA-9707564,0.004178719232029366
R-HSA-9707587,abstraction:NextStepPathway,R-HSA-189483,3.072883702317484e-06
R-HSA-167021,abstraction:NextStepPathway,R-HSA-2029485,0.002506240994800091
R-HSA-167021,abstraction:NextStepPathway,R-HSA-5218921,0.002478918034696149
R-HSA-167021,abstraction:NextStepPathway,R-HSA-1489509,0.0024050689197026454
R-HSA-2142770,abstraction:NextStepPathway,R-HSA-2142700,0.003558941578070812
R-HSA-390247,abstraction:NextStepPathway,R-HSA-9856872,0.001551720039716847
R-HSA-390247,abstraction:NextStepPathway,R-HSA-389887,0.006104897199807269
R-HSA-196783,abstraction:NextStepPathway,R-HSA-199220,0.01852415205433064
