source,interaction,target,weight
R-HSA-1474151,abstraction:NextStepPathway,R-HSA-9009391,0
R-HSA-1474151,abstraction:NextStepPathway,R-HSA-203615,2.1411286746640528
R-HSA-1474151,abstraction:NextStepPathway,R-HSA-5218920,0
R-HSA-434313,abstraction:NextStepPathway,R-HSA-200425,2.1411286746640528
R-HSA-174411,abstraction:NextStepPathway,R-HSA-174414,6.559969282460651
R-HSA-1912399,abstraction:NextStepPathway,R-HSA-1912420,6.559969282460651
R-HSA-429947,abstraction:NextStepPathway,R-HSA-9820865,0
R-HSA-429947,abstraction:NextStepPathway,R-HSA-429958,6.847651354912432
R-HSA-429947,abstraction:NextStepPathway,R-HSA-430039,6.847651354912432
R-HSA-72649,abstraction:NextStepPathway,R-HSA-72702,6.000353494525228
R-HSA-72649,abstraction:NextStepPathway,R-HSA-156827,5.749039066244322
R-HSA-5654227,abstraction:NextStepPathway,R-HSA-2029485,0
R-HSA-5654227,abstraction:NextStepPathway,R-HSA-5218921,2.928983806765617
R-HSA-5654227,abstraction:NextStepPathway,R-HSA-1489509,1.9228160506195084
R-HSA-111458,abstraction:NextStepPathway,R-HSA-9627069,6.847651354912432
R-HSA-111458,abstraction:NextStepPathway,R-HSA-111459,6.847651354912432
R-HSA-977443,abstraction:NextStepPathway,R-HSA-1236394,0
R-HSA-1855167,abstraction:NextStepPathway,R-HSA-1855184,5.461356993792541
R-HSA-1855167,abstraction:NextStepPathway,R-HSA-5675482,0
R-HSA-1855167,abstraction:NextStepPathway,R-HSA-1855229,5.461356993792541
R-HSA-425410,abstraction:NextStepPathway,R-HSA-1222556,0
R-HSA-425410,abstraction:NextStepPathway,R-HSA-917937,3.683583766539226
R-HSA-425410,abstraction:NextStepPathway,R-HSA-6803544,0
R-HSA-166665,abstraction:NextStepPathway,R-HSA-977606,5.749039066244322
R-HSA-5358346,abstraction:NextStepPathway,R-HSA-5362798,5.643678550586496
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-2408508,6.154504174352486
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-5263617,6.154504174352486
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-2408550,6.154504174352486
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-2408552,6.154504174352486
R-HSA-209931,abstraction:NextStepPathway,R-HSA-181429,0
R-HSA-9707587,abstraction:NextStepPathway,R-HSA-917937,0
R-HSA-9707587,abstraction:NextStepPathway,R-HSA-9707564,5.238213442478331
R-HSA-9707587,abstraction:NextStepPathway,R-HSA-189483,0
R-HSA-167021,abstraction:NextStepPathway,R-HSA-2029485,0
R-HSA-167021,abstraction:NextStepPathway,R-HSA-5218921,2.928983806765617
R-HSA-167021,abstraction:NextStepPathway,R-HSA-1489509,1.9228160506195084
R-HSA-2142770,abstraction:NextStepPathway,R-HSA-2142700,3.1422425988472846
R-HSA-390247,abstraction:NextStepPathway,R-HSA-9856872,2.1411286746640528
R-HSA-390247,abstraction:NextStepPathway,R-HSA-389887,6.847651354912432
R-HSA-196783,abstraction:NextStepPathway,R-HSA-199220,5.307206313965283
R-HSA-211994,abstraction:NextStepPathway,R-HSA-193368,2.1411286746640528
R-HSA-211994,abstraction:NextStepPathway,R-HSA-193775,2.1411286746640528
R-HSA-211994,abstraction:NextStepPathway,R-HSA-193807,2.1411286746640528
R-HSA-9013700,abstraction:NextStepPathway,R-HSA-9013695,6.847651354912432
R-HSA-9013700,abstraction:NextStepPathway,R-HSA-9604323,6.847651354912432
R-HSA-3322077,abstraction:NextStepPathway,R-HSA-379716,0
R-HSA-3322077,abstraction:NextStepPathway,R-HSA-71737,2.1411286746640528
R-HSA-3322077,abstraction:NextStepPathway,R-HSA-173599,2.1411286746640528
R-HSA-5357956,abstraction:NextStepPathway,R-HSA-5357905,6.559969282460651
R-HSA-9758920,abstraction:NextStepPathway,R-HSA-9793380,5.548368370782171
R-HSA-72706,abstraction:NextStepPathway,R-HSA-156902,4.688167105559059
R-HSA-72706,abstraction:NextStepPathway,R-HSA-72731,6.000353494525228
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-5654726,1.9228160506195084
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-5675221,5.643678550586496
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-2559582,0
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-2871796,0
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-2559585,0
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-9634638,1.9228160506195084
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-2559580,0
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-8940973,0
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-5654732,1.9228160506195084
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-881907,1.9228160506195084
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-450341,0
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-170968,1.9228160506195084
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-444257,0
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-112409,5.643678550586496
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-5673000,5.643678550586496
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-375165,0
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-5654727,1.9228160506195084
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-198753,1.9228160506195084
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-5654733,1.9228160506195084
R-HSA-1307965,abstraction:NextStepPathway,R-HSA-5654719,5.749039066244322
R-HSA-1307965,abstraction:NextStepPathway,R-HSA-5654712,5.749039066244322
R-HSA-1307965,abstraction:NextStepPathway,R-HSA-5654228,5.749039066244322
R-HSA-8963896,abstraction:NextStepPathway,R-HSA-8964058,5.238213442478331
R-HSA-113418,abstraction:NextStepPathway,R-HSA-674695,3.3923867519800006
R-HSA-113418,abstraction:NextStepPathway,R-HSA-112382,7.253116463020596
R-HSA-163765,abstraction:NextStepPathway,R-HSA-75105,2.1411286746640528
R-HSA-163765,abstraction:NextStepPathway,R-HSA-200425,2.1411286746640528
R-HSA-163765,abstraction:NextStepPathway,R-HSA-70171,2.1411286746640528
R-HSA-163765,abstraction:NextStepPathway,R-HSA-70268,2.1411286746640528
R-HSA-163765,abstraction:NextStepPathway,R-HSA-1483166,2.1411286746640528
R-HSA-163765,abstraction:NextStepPathway,R-HSA-199220,2.1411286746640528
R-HSA-163765,abstraction:NextStepPathway,R-HSA-196780,2.1411286746640528
R-HSA-170660,abstraction:NextStepPathway,R-HSA-180024,5.307206313965283
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9634638,1.9228160506195084
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9664323,0
R-HSA-111931,abstraction:NextStepPathway,R-HSA-442720,0
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9022692,0
R-HSA-111931,abstraction:NextStepPathway,R-HSA-111932,6.559969282460651
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9616222,0
R-HSA-111931,abstraction:NextStepPathway,R-HSA-163358,0
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9031628,1.9228160506195084
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9660821,0
R-HSA-9840309,abstraction:NextStepPathway,R-HSA-9845576,0
R-HSA-69206,abstraction:NextStepPathway,R-HSA-69239,3.468926829102335
R-HSA-8866910,abstraction:NextStepPathway,R-HSA-209822,0
R-HSA-1660514,abstraction:NextStepPathway,R-HSA-1660510,5.381314286119005
R-HSA-379716,abstraction:NextStepPathway,R-HSA-72695,4.688167105559059
R-HSA-5223345,abstraction:NextStepPathway,R-HSA-70921,0
R-HSA-1679131,abstraction:NextStepPathway,R-HSA-168138,4.139601153810221
