pathwayID,entityRef
R-HSA-140875,reactome:ProteinReference5097
R-HSA-140875,reactome:SmallMoleculeReference46
R-HSA-140875,reactome:ProteinReference3926
R-HSA-140875,
R-HSA-140875,reactome:ProteinReference5668
R-HSA-140875,reactome:ProteinReference5722
R-HSA-140875,reactome:ProteinReference3925
R-HSA-140875,reactome:ProteinReference3927
R-HSA-140875,reactome:ProteinReference5724
R-HSA-140875,reactome:ProteinReference5723
R-HSA-140875,reactome:ProteinReference5721
R-HSA-140875,reactome:SmallMoleculeReference1988
R-HSA-140875,reactome:ProteinReference3636
R-HSA-140875,reactome:ProteinReference3637
R-HSA-140875,reactome:ProteinReference3638
R-HSA-140875,reactome:ProteinReference3946
R-HSA-140875,reactome:ProteinReference4146
R-HSA-140875,reactome:ProteinReference3928
R-HSA-140875,reactome:ProteinReference5098
R-HSA-140875,reactome:ProteinReference5587
R-HSA-140875,reactome:ProteinReference5726
R-HSA-140875,reactome:ProteinReference5727
R-HSA-140875,reactome:ProteinReference5717
R-HSA-140875,reactome:SmallMoleculeReference296
R-HSA-9612973,reactome:ProteinReference2970
R-HSA-9612973,reactome:SmallMoleculeReference297
R-HSA-9612973,reactome:ProteinReference6501
R-HSA-9612973,reactome:ProteinReference6500
R-HSA-9612973,reactome:ProteinReference6514
R-HSA-9612973,reactome:ProteinReference6511
R-HSA-9612973,reactome:ProteinReference6513
R-HSA-9612973,
R-HSA-9612973,reactome:SmallMoleculeReference202
R-HSA-9612973,reactome:ProteinReference3730
R-HSA-9612973,reactome:ProteinReference5649
R-HSA-9612973,reactome:ProteinReference6895
R-HSA-9612973,reactome:SmallMoleculeReference260
R-HSA-9612973,reactome:ProteinReference9433
R-HSA-9612973,reactome:ProteinReference8264
R-HSA-9612973,reactome:ProteinReference11402
R-HSA-9612973,reactome:SmallMoleculeReference810
R-HSA-9612973,reactome:ProteinReference11406
R-HSA-9612973,reactome:ProteinReference9432
R-HSA-9612973,reactome:SmallMoleculeReference2
R-HSA-9612973,reactome:ProteinReference11396
R-HSA-9612973,reactome:ProteinReference11397
R-HSA-9612973,reactome:ProteinReference11398
R-HSA-9612973,reactome:ProteinReference6566
R-HSA-9612973,reactome:SmallMoleculeReference349
R-HSA-9612973,reactome:SmallMoleculeReference5
R-HSA-9612973,reactome:ProteinReference8780
R-HSA-9612973,reactome:ProteinReference4627
R-HSA-9612973,reactome:ProteinReference1485
R-HSA-9612973,reactome:ProteinReference1486
R-HSA-9612973,reactome:ProteinReference8837
R-HSA-9612973,reactome:SmallMoleculeReference4
R-HSA-9612973,reactome:ProteinReference6232
R-HSA-9612973,reactome:ProteinReference6233
R-HSA-9612973,reactome:ProteinReference6230
R-HSA-9612973,reactome:ProteinReference6231
R-HSA-9612973,reactome:ProteinReference6229
R-HSA-9612973,reactome:ProteinReference6240
R-HSA-9612973,reactome:ProteinReference6041
R-HSA-9612973,reactome:ProteinReference6039
R-HSA-9612973,reactome:ProteinReference6040
R-HSA-9612973,reactome:ProteinReference6242
R-HSA-9612973,reactome:ProteinReference11405
R-HSA-9612973,reactome:ProteinReference11416
R-HSA-9612973,reactome:ProteinReference11399
R-HSA-9612973,reactome:SmallMoleculeReference809
R-HSA-9612973,reactome:SmallMoleculeReference653
R-HSA-9612973,reactome:ProteinReference11407
R-HSA-9612973,reactome:SmallMoleculeReference812
R-HSA-9612973,reactome:SmallMoleculeReference231
R-HSA-9612973,reactome:ProteinReference6580
R-HSA-9612973,reactome:ProteinReference6579
R-HSA-9612973,reactome:ProteinReference11417
R-HSA-9612973,reactome:ProteinReference1436
R-HSA-9612973,reactome:ProteinReference5507
R-HSA-9612973,reactome:ProteinReference11418
R-HSA-9612973,reactome:ProteinReference4696
R-HSA-9612973,reactome:ProteinReference10459
R-HSA-9612973,reactome:ProteinReference6592
R-HSA-9612973,reactome:ProteinReference8210
R-HSA-9612973,reactome:ProteinReference5040
R-HSA-9612973,reactome:ProteinReference6619
R-HSA-9612973,reactome:ProteinReference6621
R-HSA-9612973,reactome:ProteinReference6618
R-HSA-9612973,reactome:ProteinReference4648
R-HSA-9612973,reactome:ProteinReference6620
R-HSA-9612973,reactome:ProteinReference6617
R-HSA-9612973,reactome:ProteinReference4643
R-HSA-9612973,reactome:ProteinReference6171
R-HSA-9612973,reactome:ProteinReference11400
R-HSA-9612973,reactome:ProteinReference6035
R-HSA-9612973,reactome:ProteinReference4242
R-HSA-9612973,reactome:ProteinReference8822
R-HSA-9612973,reactome:ProteinReference4732
R-HSA-9612973,reactome:ProteinReference48
R-HSA-9612973,reactome:ProteinReference1814
R-HSA-9612973,reactome:ProteinReference6034
R-HSA-9612973,reactome:SmallMoleculeReference1931
R-HSA-9612973,reactome:ProteinReference1271
R-HSA-9612973,reactome:ProteinReference5291
R-HSA-9612973,reactome:ProteinReference11420
R-HSA-9612973,reactome:ProteinReference11421
R-HSA-9612973,reactome:ProteinReference4649
R-HSA-9612973,reactome:SmallMoleculeReference3
R-HSA-9612973,reactome:ProteinReference5030
R-HSA-5467337,
R-HSA-5467337,reactome:ProteinReference4653
R-HSA-5467337,reactome:ProteinReference6048
R-HSA-5467337,reactome:ProteinReference5037
R-HSA-5467337,reactome:ProteinReference7568
R-HSA-1500931,reactome:ProteinReference5492
R-HSA-1500931,reactome:ProteinReference5497
R-HSA-1500931,reactome:ProteinReference5499
R-HSA-1500931,reactome:ProteinReference5491
R-HSA-1500931,reactome:ProteinReference5498
R-HSA-1500931,reactome:ProteinReference5494
R-HSA-1500931,reactome:ProteinReference5496
R-HSA-1500931,reactome:ProteinReference3521
R-HSA-1500931,reactome:ProteinReference5493
R-HSA-1500931,
R-HSA-1500931,reactome:ProteinReference5500
R-HSA-1500931,reactome:ProteinReference5504
R-HSA-1500931,reactome:ProteinReference3459
R-HSA-1500931,reactome:ProteinReference5501
R-HSA-1500931,reactome:ProteinReference3444
R-HSA-1500931,reactome:ProteinReference3437
R-HSA-1500931,reactome:ProteinReference3436
R-HSA-1500931,reactome:ProteinReference3435
R-HSA-1500931,reactome:ProteinReference3448
R-HSA-1500931,reactome:ProteinReference3445
R-HSA-1500931,reactome:ProteinReference3446
R-HSA-1500931,reactome:ProteinReference3385
R-HSA-1500931,reactome:ProteinReference5489
R-HSA-1500931,reactome:ProteinReference5490
R-HSA-1500931,reactome:SmallMoleculeReference46
R-HSA-1500931,reactome:ProteinReference5382
R-HSA-1500931,reactome:ProteinReference5386
R-HSA-1500931,reactome:ProteinReference5381
R-HSA-1500931,reactome:ProteinReference5385
R-HSA-1500931,reactome:ProteinReference5388
R-HSA-1500931,reactome:ProteinReference5383
R-HSA-1500931,reactome:ProteinReference5384
R-HSA-1500931,reactome:ProteinReference5376
R-HSA-1500931,reactome:ProteinReference5378
R-HSA-1500931,reactome:ProteinReference5379
R-HSA-1500931,reactome:ProteinReference5380
R-HSA-1500931,reactome:ProteinReference3598
R-HSA-1500931,reactome:ProteinReference5446
R-HSA-1500931,reactome:SmallMoleculeReference48
R-HSA-1500931,reactome:ProteinReference4387
R-HSA-1500931,reactome:ProteinReference5440
R-HSA-1500931,reactome:RnaReference79
R-HSA-1500931,reactome:ProteinReference5441
R-HSA-1500931,reactome:SmallMoleculeReference2
R-HSA-1500931,reactome:SmallMoleculeReference5
R-HSA-1500931,reactome:ProteinReference5445
R-HSA-1500931,reactome:ProteinReference70
R-HSA-1500931,reactome:ProteinReference72
R-HSA-1500931,reactome:ProteinReference71
R-HSA-1500931,reactome:ProteinReference66
R-HSA-1500931,reactome:ProteinReference68
R-HSA-1500931,reactome:ProteinReference67
R-HSA-1500931,reactome:ProteinReference69
R-HSA-1500931,reactome:ProteinReference62
R-HSA-1500931,reactome:ProteinReference63
R-HSA-1500931,reactome:ProteinReference59
R-HSA-1500931,reactome:ProteinReference64
R-HSA-1500931,reactome:ProteinReference60
R-HSA-1500931,reactome:ProteinReference61
R-HSA-1500931,reactome:ProteinReference65
R-HSA-1500931,reactome:ProteinReference75
R-HSA-1500931,reactome:ProteinReference74
R-HSA-1500931,reactome:ProteinReference73
R-HSA-1500931,reactome:ProteinReference76
R-HSA-1500931,reactome:ProteinReference78
R-HSA-1500931,reactome:ProteinReference77
R-HSA-1500931,reactome:ProteinReference79
R-HSA-1500931,reactome:ProteinReference80
R-HSA-1500931,reactome:ProteinReference81
R-HSA-1500931,reactome:ProteinReference83
R-HSA-1500931,reactome:ProteinReference84
R-HSA-1500931,reactome:ProteinReference85
R-HSA-1500931,reactome:ProteinReference82
R-HSA-1500931,reactome:ProteinReference89
R-HSA-1500931,reactome:ProteinReference90
R-HSA-1500931,reactome:ProteinReference87
R-HSA-1500931,reactome:ProteinReference86
R-HSA-1500931,reactome:ProteinReference88
R-HSA-1500931,reactome:ProteinReference5442
R-HSA-1500931,reactome:ProteinReference1821
R-HSA-1500931,reactome:ProteinReference5439
R-HSA-1500931,reactome:RnaReference74
R-HSA-1500931,reactome:DnaReference92
R-HSA-1500931,reactome:ProteinReference5136
R-HSA-1500931,reactome:ProteinReference5396
R-HSA-1500931,reactome:ProteinReference5395
R-HSA-1500931,reactome:ProteinReference5393
R-HSA-1500931,reactome:ProteinReference5391
R-HSA-1500931,reactome:ProteinReference5390
R-HSA-1500931,reactome:ProteinReference5392
R-HSA-1500931,reactome:ProteinReference5394
R-HSA-1500931,reactome:ProteinReference5397
R-HSA-1500931,reactome:ProteinReference1141
R-HSA-1500931,reactome:ProteinReference5389
R-HSA-1500931,reactome:ProteinReference5417
R-HSA-1500931,reactome:ProteinReference4406
R-HSA-1500931,reactome:ProteinReference5422
R-HSA-1500931,reactome:ProteinReference5403
R-HSA-1500931,reactome:ProteinReference4453
R-HSA-1500931,reactome:ProteinReference5404
R-HSA-1500931,reactome:ProteinReference4458
R-HSA-1500931,reactome:ProteinReference5409
R-HSA-1500931,reactome:ProteinReference5399
R-HSA-1500931,reactome:ProteinReference5400
R-HSA-1500931,reactome:ProteinReference5401
R-HSA-1500931,reactome:ProteinReference5407
R-HSA-1500931,reactome:ProteinReference5413
R-HSA-1500931,reactome:ProteinReference5412
R-HSA-1500931,reactome:SmallMoleculeReference96
R-HSA-1500931,reactome:SmallMoleculeReference95
R-HSA-1500931,reactome:ProteinReference5415
R-HSA-1500931,reactome:ProteinReference5402
R-HSA-1500931,reactome:ProteinReference5416
R-HSA-1500931,reactome:ProteinReference5414
R-HSA-1500931,reactome:ProteinReference5411
R-HSA-1500931,reactome:ProteinReference5410
R-HSA-1500931,reactome:ProteinReference5408
R-HSA-1500931,reactome:ProteinReference5418
R-HSA-1500931,reactome:ProteinReference5425
R-HSA-1500931,reactome:ProteinReference5420
R-HSA-1500931,reactome:ProteinReference5421
R-HSA-1500931,reactome:ProteinReference5419
R-HSA-1500931,reactome:ProteinReference5406
R-HSA-1500931,reactome:ProteinReference4113
R-HSA-1500931,reactome:ProteinReference1497
R-HSA-1500931,reactome:SmallMoleculeReference3
R-HSA-1500931,reactome:SmallMoleculeReference1991
R-HSA-1500931,reactome:ProteinReference4109
R-HSA-1500931,reactome:ProteinReference4112
R-HSA-1500931,reactome:ProteinReference4111
R-HSA-1500931,reactome:SmallMoleculeReference1843
R-HSA-1500931,reactome:SmallMoleculeReference1841
R-HSA-1500931,reactome:SmallMoleculeReference44
R-HSA-1500931,reactome:SmallMoleculeReference1894
R-HSA-1500931,reactome:ProteinReference3719
R-HSA-1500931,reactome:ProteinReference4107
R-HSA-1500931,reactome:ProteinReference3714
R-HSA-1500931,reactome:ProteinReference4103
R-HSA-1500931,reactome:ProteinReference3713
R-HSA-1500931,reactome:ProteinReference4104
R-HSA-1500931,reactome:ProteinReference4106
R-HSA-1500931,reactome:ProteinReference4105
R-HSA-1500931,reactome:ProteinReference4223
R-HSA-1500931,reactome:ProteinReference5437
R-HSA-1500931,reactome:ProteinReference5457
R-HSA-1500931,reactome:DnaReference97
R-HSA-1500931,reactome:ProteinReference5456
R-HSA-1500931,reactome:ProteinReference5458
R-HSA-1500931,reactome:ProteinReference661
R-HSA-1500931,reactome:ProteinReference5364
R-HSA-1500931,reactome:ProteinReference5155
R-HSA-1500931,reactome:ProteinReference5453
R-HSA-1500931,reactome:ProteinReference5373
R-HSA-1500931,reactome:ProteinReference5368
R-HSA-1500931,reactome:ProteinReference5455
R-HSA-1500931,reactome:RnaReference80
R-HSA-1500931,reactome:RnaReference81
R-HSA-1500931,reactome:DnaReference96
R-HSA-1500931,reactome:ProteinReference5451
R-HSA-1500931,reactome:ProteinReference5452
R-HSA-1500931,reactome:ProteinReference5447
R-HSA-1500931,reactome:ProteinReference5448
R-HSA-1500931,reactome:ProteinReference5449
R-HSA-1500931,reactome:ProteinReference5450
R-HSA-1500931,reactome:ProteinReference5484
R-HSA-1500931,reactome:ProteinReference5483
R-HSA-1500931,reactome:ProteinReference3645
R-HSA-1500931,reactome:ProteinReference5487
R-HSA-1500931,reactome:ProteinReference5485
R-HSA-1500931,reactome:ProteinReference5486
R-HSA-1500931,reactome:ProteinReference5488
R-HSA-1500931,reactome:ProteinReference5518
R-HSA-1500931,reactome:ProteinReference5522
R-HSA-1500931,reactome:ProteinReference5519
R-HSA-1500931,reactome:ProteinReference5525
R-HSA-1500931,reactome:ProteinReference3519
R-HSA-1500931,reactome:ProteinReference1822
R-HSA-1500931,reactome:ProteinReference1781
R-HSA-1500931,reactome:ProteinReference5506
R-HSA-1500931,reactome:ProteinReference3649
R-HSA-1500931,reactome:ProteinReference5514
R-HSA-1500931,reactome:ProteinReference5513
R-HSA-1500931,reactome:ProteinReference5511
R-HSA-1500931,reactome:ProteinReference5512
R-HSA-1500931,reactome:ProteinReference5517
R-HSA-1500931,reactome:ProteinReference5516
R-HSA-1500931,reactome:ProteinReference5515
R-HSA-936964,reactome:ProteinReference4492
R-HSA-936964,reactome:ProteinReference8977
R-HSA-936964,reactome:ProteinReference6155
R-HSA-936964,reactome:ProteinReference6154
R-HSA-936964,reactome:ProteinReference8893
R-HSA-936964,reactome:SmallMoleculeReference2097
R-HSA-936964,reactome:ProteinReference9372
R-HSA-936964,reactome:ProteinReference4669
R-HSA-936964,reactome:ProteinReference9370
R-HSA-936964,reactome:SmallMoleculeReference2
R-HSA-936964,reactome:SmallMoleculeReference5
R-HSA-936964,reactome:ProteinReference8210
R-HSA-936964,reactome:ProteinReference6592
R-HSA-936964,
R-HSA-936964,reactome:ProteinReference5510
R-HSA-936964,reactome:ProteinReference9369
R-HSA-381070,reactome:RnaReference98
R-HSA-381070,reactome:RnaReference99
R-HSA-381070,reactome:SmallMoleculeReference5
R-HSA-381070,reactome:ProteinReference6245
R-HSA-381070,reactome:DnaReference261
R-HSA-381070,reactome:ProteinReference6266
R-HSA-381070,reactome:ProteinReference6244
R-HSA-381070,reactome:DnaReference228
R-HSA-381070,reactome:ProteinReference6252
R-HSA-381070,reactome:DnaReference233
R-HSA-381070,reactome:ProteinReference4054
R-HSA-381070,reactome:DnaReference236
R-HSA-381070,reactome:ProteinReference6255
R-HSA-381070,reactome:DnaReference246
R-HSA-381070,reactome:ProteinReference5611
R-HSA-381070,reactome:DnaReference238
R-HSA-381070,reactome:ProteinReference4207
R-HSA-381070,reactome:DnaReference242
R-HSA-381070,reactome:ProteinReference5089
R-HSA-381070,reactome:DnaReference220
R-HSA-381070,reactome:ProteinReference6247
R-HSA-381070,reactome:DnaReference232
R-HSA-381070,reactome:ProteinReference4209
R-HSA-381070,reactome:DnaReference224
R-HSA-381070,reactome:ProteinReference6249
R-HSA-381070,reactome:DnaReference247
R-HSA-381070,reactome:ProteinReference3712
R-HSA-381070,reactome:DnaReference251
R-HSA-381070,reactome:ProteinReference4122
R-HSA-381070,reactome:DnaReference255
R-HSA-381070,reactome:ProteinReference6262
R-HSA-381070,reactome:DnaReference260
R-HSA-381070,reactome:ProteinReference6265
R-HSA-381070,reactome:DnaReference229
R-HSA-381070,reactome:ProteinReference935
R-HSA-381070,reactome:DnaReference223
R-HSA-381070,reactome:ProteinReference4224
R-HSA-381070,reactome:DnaReference219
R-HSA-381070,reactome:ProteinReference6246
R-HSA-381070,reactome:DnaReference237
R-HSA-381070,reactome:ProteinReference6256
R-HSA-381070,reactome:DnaReference241
R-HSA-381070,reactome:ProteinReference6259
R-HSA-381070,reactome:DnaReference245
R-HSA-381070,reactome:ProteinReference6260
R-HSA-381070,reactome:DnaReference244
R-HSA-381070,reactome:ProteinReference5564
R-HSA-381070,reactome:DnaReference222
R-HSA-381070,reactome:ProteinReference5019
R-HSA-381070,reactome:DnaReference225
R-HSA-381070,reactome:ProteinReference6250
R-HSA-381070,reactome:DnaReference254
R-HSA-381070,reactome:ProteinReference6261
R-HSA-381070,reactome:DnaReference250
R-HSA-381070,reactome:ProteinReference2691
R-HSA-381070,reactome:DnaReference217
R-HSA-381070,reactome:ProteinReference595
R-HSA-381070,reactome:DnaReference216
R-HSA-381070,reactome:ProteinReference1274
R-HSA-381070,reactome:DnaReference227
R-HSA-381070,reactome:ProteinReference4120
R-HSA-381070,reactome:DnaReference235
R-HSA-381070,reactome:ProteinReference6254
R-HSA-381070,reactome:DnaReference231
R-HSA-381070,reactome:ProteinReference6253
R-HSA-381070,reactome:DnaReference259
R-HSA-381070,reactome:ProteinReference6264
R-HSA-381070,reactome:DnaReference240
R-HSA-381070,reactome:ProteinReference6258
R-HSA-381070,reactome:DnaReference258
R-HSA-381070,reactome:ProteinReference5107
R-HSA-381070,reactome:DnaReference218
R-HSA-381070,reactome:ProteinReference404
R-HSA-381070,reactome:DnaReference249
R-HSA-381070,reactome:ProteinReference3720
R-HSA-381070,reactome:DnaReference253
R-HSA-381070,reactome:ProteinReference4160
R-HSA-381070,reactome:DnaReference226
R-HSA-381070,reactome:ProteinReference6251
R-HSA-381070,reactome:DnaReference257
R-HSA-381070,reactome:ProteinReference5605
R-HSA-381070,reactome:DnaReference262
R-HSA-381070,reactome:ProteinReference5063
R-HSA-381070,reactome:DnaReference221
R-HSA-381070,reactome:ProteinReference6248
R-HSA-381070,reactome:DnaReference234
R-HSA-381070,reactome:ProteinReference4138
R-HSA-381070,reactome:DnaReference230
R-HSA-381070,reactome:ProteinReference936
R-HSA-381070,reactome:DnaReference239
R-HSA-381070,reactome:ProteinReference6257
R-HSA-381070,reactome:DnaReference243
R-HSA-381070,reactome:ProteinReference1380
R-HSA-381070,reactome:DnaReference252
R-HSA-381070,reactome:ProteinReference4135
R-HSA-381070,reactome:DnaReference256
R-HSA-381070,reactome:ProteinReference6263
R-HSA-381070,reactome:DnaReference248
R-HSA-381070,reactome:ProteinReference3711
R-HSA-381070,
R-HSA-381070,reactome:ProteinReference5709
R-HSA-381070,reactome:SmallMoleculeReference2
R-HSA-399710,reactome:SmallMoleculeReference46
R-HSA-399710,reactome:SmallMoleculeReference159
R-HSA-399710,
R-HSA-399710,reactome:SmallMoleculeReference45
R-HSA-5655332,reactome:SmallMoleculeReference2
R-HSA-5655332,
R-HSA-5655332,reactome:SmallMoleculeReference5
R-HSA-5655332,reactome:SmallMoleculeReference2029
R-HSA-5655332,reactome:ProteinReference6732
R-HSA-5655332,reactome:SmallMoleculeReference202
R-HSA-5655332,reactome:SmallMoleculeReference231
R-HSA-5655332,reactome:ProteinReference5514
R-HSA-5655332,reactome:ProteinReference5608
R-HSA-5655332,reactome:ProteinReference6708
R-HSA-5655332,reactome:ProteinReference1012
R-HSA-5655332,reactome:SmallMoleculeReference814
R-HSA-5655332,reactome:SmallMoleculeReference466
R-HSA-5655332,reactome:ProteinReference6678
R-HSA-5655332,reactome:ProteinReference1501
R-HSA-5655332,reactome:ProteinReference1500
R-HSA-2644607,reactome:ProteinReference431
R-HSA-2644607,reactome:ProteinReference433
R-HSA-2644607,reactome:ProteinReference3850
R-HSA-2644607,reactome:ProteinReference6173
R-HSA-3560783,reactome:SmallMoleculeReference207
R-HSA-3560783,
R-HSA-9692916,reactome:ProteinReference8791
R-HSA-9692916,reactome:ProteinReference8790
R-HSA-9692916,reactome:ProteinReference8785
R-HSA-9692916,
R-HSA-9692916,reactome:ProteinReference8777
R-HSA-9692916,reactome:ProteinReference4496
R-HSA-9692916,reactome:ProteinReference6137
R-HSA-9692916,reactome:ProteinReference4494
R-HSA-9692916,reactome:ProteinReference8778
R-HSA-9692916,reactome:ProteinReference8794
R-HSA-9692916,reactome:ProteinReference175
R-HSA-9692916,reactome:ProteinReference8782
R-HSA-9692916,reactome:SmallMoleculeReference2628
R-HSA-9692916,reactome:ProteinReference8299
R-HSA-9692916,reactome:ProteinReference8303
R-HSA-9692916,reactome:RnaReference185
R-HSA-9692916,reactome:SmallMoleculeReference2
R-HSA-9692916,reactome:ProteinReference4582
R-HSA-9692916,reactome:ProteinReference8775
R-HSA-9692916,reactome:ProteinReference4669
R-HSA-9692916,reactome:SmallMoleculeReference43
R-HSA-9692916,reactome:ProteinReference7444
R-HSA-9692916,reactome:ProteinReference1670
R-HSA-9692916,reactome:ProteinReference8786
R-HSA-9692916,reactome:ProteinReference830
R-HSA-9692916,reactome:ProteinReference4612
R-HSA-9692916,reactome:ProteinReference8771
R-HSA-9692916,reactome:ProteinReference4682
R-HSA-9692916,reactome:ProteinReference8774
R-HSA-9692916,reactome:ProteinReference8773
R-HSA-9692916,reactome:ProteinReference8772
R-HSA-9692916,reactome:ProteinReference5195
R-HSA-9692916,reactome:ProteinReference8789
R-HSA-9692916,reactome:ProteinReference4680
R-HSA-9692916,reactome:ProteinReference8781
R-HSA-9692916,reactome:ProteinReference2819
R-HSA-9692916,reactome:ProteinReference8779
R-HSA-9692916,reactome:ProteinReference4705
R-HSA-9692916,reactome:SmallMoleculeReference46
R-HSA-9692916,reactome:ProteinReference8788
R-HSA-9692916,reactome:ProteinReference8793
R-HSA-9692916,reactome:ProteinReference8783
R-HSA-9692916,reactome:ProteinReference8787
R-HSA-9692916,reactome:ProteinReference4648
R-HSA-9692916,reactome:SmallMoleculeReference2679
R-HSA-9692916,reactome:ProteinReference6903
R-HSA-9692916,reactome:ProteinReference8792
R-HSA-9692916,reactome:ProteinReference8784
R-HSA-9692916,reactome:ProteinReference4585
R-HSA-211859,
R-HSA-211859,reactome:SmallMoleculeReference3
R-HSA-211859,reactome:SmallMoleculeReference411
R-HSA-211859,reactome:ProteinReference2755
R-HSA-211859,reactome:SmallMoleculeReference48
R-HSA-211859,reactome:SmallMoleculeReference1592
R-HSA-211859,reactome:SmallMoleculeReference574
R-HSA-211859,reactome:SmallMoleculeReference1743
R-HSA-211859,reactome:SmallMoleculeReference1744
R-HSA-211859,reactome:SmallMoleculeReference44
R-HSA-211859,reactome:SmallMoleculeReference239
R-HSA-211859,reactome:SmallMoleculeReference237
R-HSA-211859,reactome:SmallMoleculeReference1591
R-HSA-211859,reactome:SmallMoleculeReference1732
R-HSA-211859,reactome:SmallMoleculeReference242
R-HSA-211859,reactome:ProteinReference1251
R-HSA-211859,reactome:SmallMoleculeReference1733
R-HSA-211859,reactome:ProteinReference2626
R-HSA-211859,reactome:SmallMoleculeReference159
R-HSA-211859,reactome:SmallMoleculeReference1734
R-HSA-211859,reactome:SmallMoleculeReference203
R-HSA-211859,reactome:SmallMoleculeReference302
R-HSA-211859,reactome:SmallMoleculeReference1731
R-HSA-211859,reactome:SmallMoleculeReference1745
R-HSA-211859,reactome:SmallMoleculeReference139
R-HSA-211859,reactome:ProteinReference2754
R-HSA-211859,reactome:ProteinReference2708
