source,interaction,target,weight
R-HSA-5693568,abstraction:IsAComponentOf,R-HSA-5693537,6.344934360097766
R-HSA-5693554,abstraction:IsAComponentOf,R-HSA-5693537,6.344934360097766
R-HSA-9031528,abstraction:IsAComponentOf,R-HSA-9024446,5.315314942916608
R-HSA-9029569,abstraction:IsAComponentOf,R-HSA-9024446,5.315314942916608
R-HSA-9623433,abstraction:IsAComponentOf,R-HSA-9024446,5.315314942916608
R-HSA-9632974,abstraction:IsAComponentOf,R-HSA-9024446,5.315314942916608
R-HSA-9031525,abstraction:IsAComponentOf,R-HSA-9024446,5.315314942916608
R-HSA-9029558,abstraction:IsAComponentOf,R-HSA-9024446,5.315314942916608
R-HSA-1295596,abstraction:IsAComponentOf,R-HSA-5654732,5.651787179537821
R-HSA-9734779,abstraction:IsAComponentOf,R-HSA-9734767,3.235873401236772
R-HSA-9820448,abstraction:IsAComponentOf,R-HSA-9734767,3.235873401236772
R-HSA-203754,abstraction:IsAComponentOf,R-HSA-202131,2.143231279555166
R-HSA-203641,abstraction:IsAComponentOf,R-HSA-202131,2.143231279555166
R-HSA-203615,abstraction:IsAComponentOf,R-HSA-202131,2.143231279555166
R-HSA-9683686,abstraction:IsAComponentOf,R-HSA-9683701,4.958639998977875
R-HSA-9683612,abstraction:IsAComponentOf,R-HSA-9683701,4.958639998977875
R-HSA-9683683,abstraction:IsAComponentOf,R-HSA-9683701,4.958639998977875
R-HSA-9683610,abstraction:IsAComponentOf,R-HSA-9683701,4.958639998977875
R-HSA-9683673,abstraction:IsAComponentOf,R-HSA-9683701,4.958639998977875
R-HSA-2855086,abstraction:IsAComponentOf,R-HSA-166662,6.855759983863757
R-HSA-211981,abstraction:IsAComponentOf,R-HSA-211897,5.1211589284756505
R-HSA-211916,abstraction:IsAComponentOf,R-HSA-211897,5.1211589284756505
R-HSA-211935,abstraction:IsAComponentOf,R-HSA-211897,5.1211589284756505
