source,interaction,target,weight
R-HSA-5693568,abstraction:IsAComponentOf,R-HSA-5693537,-0.1842080763601764
R-HSA-5693554,abstraction:IsAComponentOf,R-HSA-5693537,-0.1842080763601764
R-HSA-9031528,abstraction:IsAComponentOf,R-HSA-9024446,-0.22381293122404236
R-HSA-9029569,abstraction:IsAComponentOf,R-HSA-9024446,-0.22381293122404236
R-HSA-9623433,abstraction:IsAComponentOf,R-HSA-9024446,-0.22381293122404236
R-HSA-9632974,abstraction:IsAComponentOf,R-HSA-9024446,-0.22381293122404236
R-HSA-9031525,abstraction:IsAComponentOf,R-HSA-9024446,-0.22381293122404236
R-HSA-9029558,abstraction:IsAComponentOf,R-HSA-9024446,-0.22381293122404236
R-HSA-1295596,abstraction:IsAComponentOf,R-HSA-5654732,-0.2985785790644705
R-HSA-9734779,abstraction:IsAComponentOf,R-HSA-9734767,0.19057263836051166
R-HSA-9820448,abstraction:IsAComponentOf,R-HSA-9734767,0.16833627689135225
R-HSA-203754,abstraction:IsAComponentOf,R-HSA-202131,0.3892114592750856
R-HSA-203641,abstraction:IsAComponentOf,R-HSA-202131,0.3892114592750856
R-HSA-203615,abstraction:IsAComponentOf,R-HSA-202131,0.3892114592750856
R-HSA-9683686,abstraction:IsAComponentOf,R-HSA-9683701,-0.2799281204490645
R-HSA-9683612,abstraction:IsAComponentOf,R-HSA-9683701,-0.2799281204490645
R-HSA-9683683,abstraction:IsAComponentOf,R-HSA-9683701,-0.2799281204490645
R-HSA-9683610,abstraction:IsAComponentOf,R-HSA-9683701,-0.2799281204490645
R-HSA-9683673,abstraction:IsAComponentOf,R-HSA-9683701,-0.2799281204490645
R-HSA-2855086,abstraction:IsAComponentOf,R-HSA-166662,-0.1736971245039453
R-HSA-211981,abstraction:IsAComponentOf,R-HSA-211897,0.36022341961442944
R-HSA-211916,abstraction:IsAComponentOf,R-HSA-211897,-0.22295698132633715
R-HSA-211935,abstraction:IsAComponentOf,R-HSA-211897,-0.22295698132633715
R-HSA-211958,abstraction:IsAComponentOf,R-HSA-211897,-0.22295698132633715
R-HSA-211979,abstraction:IsAComponentOf,R-HSA-211897,-0.22295698132633715
R-HSA-211976,abstraction:IsAComponentOf,R-HSA-211897,0.28825071819648357
R-HSA-9772573,abstraction:IsAComponentOf,R-HSA-9694516,0.43010441981924036
R-HSA-9772572,abstraction:IsAComponentOf,R-HSA-9694516,0.3881488492930897
R-HSA-9705683,abstraction:IsAComponentOf,R-HSA-9694516,0.3433118689652143
R-HSA-5657655,abstraction:IsAComponentOf,R-HSA-73942,-0.7827539074165766
R-HSA-9729902,abstraction:IsAComponentOf,R-HSA-73942,-0.7827539074165766
R-HSA-73943,abstraction:IsAComponentOf,R-HSA-73942,0.1671211146630835
R-HSA-111448,abstraction:IsAComponentOf,R-HSA-114452,-0.2721138617884618
R-HSA-139910,abstraction:IsAComponentOf,R-HSA-114452,-0.2721138617884618
R-HSA-111447,abstraction:IsAComponentOf,R-HSA-114452,-0.2721138617884618
R-HSA-111446,abstraction:IsAComponentOf,R-HSA-114452,-0.2721138617884618
R-HSA-139915,abstraction:IsAComponentOf,R-HSA-114452,-0.2721138617884618
R-HSA-9649948,abstraction:IsAComponentOf,R-HSA-6802949,-0.2634706490148382
R-HSA-9649913,abstraction:IsAComponentOf,R-HSA-6802949,0.28853900817779266
R-HSA-5674499,abstraction:IsAComponentOf,R-HSA-5675221,-0.22878827623976
R-HSA-1237044,abstraction:IsAComponentOf,R-HSA-1480926,-8.18600576221822
R-HSA-1247673,abstraction:IsAComponentOf,R-HSA-1480926,-8.18600576221822
R-HSA-159424,abstraction:IsAComponentOf,R-HSA-156587,0.4024296043818447
R-HSA-500792,abstraction:IsAComponentOf,R-HSA-372790,0.21887942311330963
R-HSA-388396,abstraction:IsAComponentOf,R-HSA-372790,0.22051572744870526
R-HSA-9669917,abstraction:IsAComponentOf,R-HSA-9669937,-0.20962674314919894
R-HSA-9669914,abstraction:IsAComponentOf,R-HSA-9669937,-0.20962674314919894
R-HSA-9669924,abstraction:IsAComponentOf,R-HSA-9669937,-0.20962674314919894
R-HSA-9669926,abstraction:IsAComponentOf,R-HSA-9669937,-0.20962674314919894
R-HSA-9669936,abstraction:IsAComponentOf,R-HSA-9669937,-0.20962674314919894
R-HSA-9669934,abstraction:IsAComponentOf,R-HSA-9669937,-0.20962674314919894
R-HSA-9669929,abstraction:IsAComponentOf,R-HSA-9669937,-0.20962674314919894
R-HSA-211957,abstraction:IsAComponentOf,R-HSA-211981,-0.23512425843787346
R-HSA-211999,abstraction:IsAComponentOf,R-HSA-211981,-0.23512425843787346
R-HSA-4411364,abstraction:IsAComponentOf,R-HSA-201722,-0.2985785790644705
R-HSA-75892,abstraction:IsAComponentOf,R-HSA-109582,0
R-HSA-76002,abstraction:IsAComponentOf,R-HSA-109582,0
R-HSA-75205,abstraction:IsAComponentOf,R-HSA-109582,0
R-HSA-983231,abstraction:IsAComponentOf,R-HSA-109582,0
R-HSA-418346,abstraction:IsAComponentOf,R-HSA-109582,0
R-HSA-202733,abstraction:IsAComponentOf,R-HSA-109582,0
R-HSA-140877,abstraction:IsAComponentOf,R-HSA-109582,0
R-HSA-2219530,abstraction:IsAComponentOf,R-HSA-2219528,0.8286288835499589
R-HSA-5674400,abstraction:IsAComponentOf,R-HSA-2219528,0.8286288835499589
R-HSA-5674404,abstraction:IsAComponentOf,R-HSA-2219528,0.8286288835499589
R-HSA-1369062,abstraction:IsAComponentOf,R-HSA-382556,-8.18600576221822
R-HSA-1369007,abstraction:IsAComponentOf,R-HSA-382556,-8.18600576221822
R-HSA-5655332,abstraction:IsAComponentOf,R-HSA-1226099,0.16866068318621288
R-HSA-5655253,abstraction:IsAComponentOf,R-HSA-1226099,0.1752565590945767
R-HSA-5655302,abstraction:IsAComponentOf,R-HSA-1226099,0.1752565590945767
R-HSA-5655291,abstraction:IsAComponentOf,R-HSA-1226099,0.13669870133391548
R-HSA-419037,abstraction:IsAComponentOf,R-HSA-375165,-1.472320478625749
R-HSA-9026766,abstraction:IsAComponentOf,R-HSA-9026395,-0.2227848098240302
R-HSA-9026762,abstraction:IsAComponentOf,R-HSA-9026395,-0.2227848098240302
R-HSA-2644602,abstraction:IsAComponentOf,R-HSA-2644603,0.1256721522145032
R-HSA-2691230,abstraction:IsAComponentOf,R-HSA-2644603,0.1256721522145032
R-HSA-2644605,abstraction:IsAComponentOf,R-HSA-2644603,0.1256721522145032
R-HSA-2894858,abstraction:IsAComponentOf,R-HSA-2644603,0.1256721522145032
R-HSA-2660825,abstraction:IsAComponentOf,R-HSA-2644603,0.1256721522145032
R-HSA-174414,abstraction:IsAComponentOf,R-HSA-174417,0.45511961331341855
R-HSA-174430,abstraction:IsAComponentOf,R-HSA-174417,-0.1736971245039453
R-HSA-174411,abstraction:IsAComponentOf,R-HSA-174417,-0.1736971245039453
R-HSA-8849469,abstraction:IsAComponentOf,R-HSA-8848021,-0.18029626290964992
R-HSA-8857538,abstraction:IsAComponentOf,R-HSA-8848021,-0.18029626290964992
R-HSA-8849474,abstraction:IsAComponentOf,R-HSA-8848021,-0.18029626290964992
R-HSA-8847993,abstraction:IsAComponentOf,R-HSA-8848021,-0.18029626290964992
R-HSA-8849470,abstraction:IsAComponentOf,R-HSA-8848021,-0.18029626290964992
R-HSA-8849472,abstraction:IsAComponentOf,R-HSA-8848021,-0.18029626290964992
R-HSA-8849473,abstraction:IsAComponentOf,R-HSA-8848021,-0.18029626290964992
R-HSA-8849471,abstraction:IsAComponentOf,R-HSA-8848021,-0.18029626290964992
R-HSA-8849468,abstraction:IsAComponentOf,R-HSA-8848021,-0.18029626290964992
R-HSA-5423646,abstraction:IsAComponentOf,R-HSA-211859,4.946239064913446
R-HSA-156580,abstraction:IsAComponentOf,R-HSA-211859,0.17631586276749228
R-HSA-211945,abstraction:IsAComponentOf,R-HSA-211859,0.18785224388764107
R-HSA-76066,abstraction:IsAComponentOf,R-HSA-76046,-0.19375473227070356
R-HSA-76061,abstraction:IsAComponentOf,R-HSA-76046,-0.19375473227070356
R-HSA-76071,abstraction:IsAComponentOf,R-HSA-76046,-0.19375473227070356
R-HSA-68882,abstraction:IsAComponentOf,R-HSA-2555396,0.368237271367476
R-HSA-68881,abstraction:IsAComponentOf,R-HSA-2555396,-0.27553568347729884
R-HSA-68867,abstraction:IsAComponentOf,R-HSA-69002,0.2701751996984203
R-HSA-68962,abstraction:IsAComponentOf,R-HSA-69002,-0.28090494285766965
R-HSA-1295596,abstraction:IsAComponentOf,R-HSA-5654727,-0.3165977918102922
R-HSA-2995383,abstraction:IsAComponentOf,R-HSA-2995410,-0.17140578710378218
R-HSA-9615933,abstraction:IsAComponentOf,R-HSA-2995410,-0.17140578710378218
R-HSA-9668328,abstraction:IsAComponentOf,R-HSA-2995410,-0.17140578710378218
R-HSA-2393930,abstraction:IsAComponentOf,R-HSA-74259,-0.1929837459041747
R-HSA-74158,abstraction:IsAComponentOf,R-HSA-74160,0
R-HSA-75944,abstraction:IsAComponentOf,R-HSA-74160,0
R-HSA-73857,abstraction:IsAComponentOf,R-HSA-74160,0
