source,interaction,target,weight
R-HSA-5693568,abstraction:IsAComponentOf,R-HSA-5693537,0
R-HSA-5693554,abstraction:IsAComponentOf,R-HSA-5693537,0
R-HSA-9031528,abstraction:IsAComponentOf,R-HSA-9024446,0
R-HSA-9029569,abstraction:IsAComponentOf,R-HSA-9024446,0
R-HSA-9623433,abstraction:IsAComponentOf,R-HSA-9024446,0
R-HSA-9632974,abstraction:IsAComponentOf,R-HSA-9024446,0
R-HSA-9031525,abstraction:IsAComponentOf,R-HSA-9024446,0
R-HSA-9029558,abstraction:IsAComponentOf,R-HSA-9024446,0
R-HSA-1295596,abstraction:IsAComponentOf,R-HSA-5654732,0
R-HSA-9734779,abstraction:IsAComponentOf,R-HSA-9734767,0.5522397141112634
R-HSA-9820448,abstraction:IsAComponentOf,R-HSA-9734767,0.5214005187804539
R-HSA-203754,abstraction:IsAComponentOf,R-HSA-202131,0
R-HSA-203641,abstraction:IsAComponentOf,R-HSA-202131,0
R-HSA-203615,abstraction:IsAComponentOf,R-HSA-202131,0
R-HSA-9683686,abstraction:IsAComponentOf,R-HSA-9683701,0
R-HSA-9683612,abstraction:IsAComponentOf,R-HSA-9683701,0
R-HSA-9683683,abstraction:IsAComponentOf,R-HSA-9683701,0
R-HSA-9683610,abstraction:IsAComponentOf,R-HSA-9683701,0
R-HSA-9683673,abstraction:IsAComponentOf,R-HSA-9683701,0
R-HSA-2855086,abstraction:IsAComponentOf,R-HSA-166662,0
R-HSA-211981,abstraction:IsAComponentOf,R-HSA-211897,0.7867586851597405
R-HSA-211916,abstraction:IsAComponentOf,R-HSA-211897,0
R-HSA-211935,abstraction:IsAComponentOf,R-HSA-211897,0
R-HSA-211958,abstraction:IsAComponentOf,R-HSA-211897,0
R-HSA-211979,abstraction:IsAComponentOf,R-HSA-211897,0
R-HSA-211976,abstraction:IsAComponentOf,R-HSA-211897,0.746986321068591
R-HSA-9772573,abstraction:IsAComponentOf,R-HSA-9694516,0.7792733402839467
R-HSA-9772572,abstraction:IsAComponentOf,R-HSA-9694516,0.7611141730393586
R-HSA-9705683,abstraction:IsAComponentOf,R-HSA-9694516,0.7380867504387216
