source,interaction,target,weight
R-HSA-140875,abstraction:NextStepPathway,R-HSA-75205,6.186502525445593
R-HSA-140875,abstraction:NextStepPathway,R-HSA-202733,5.156883108264434
R-HSA-140875,abstraction:NextStepPathway,R-HSA-216083,5.582967503575334
R-HSA-140875,abstraction:NextStepPathway,R-HSA-9672391,6.5637967565870605
R-HSA-140875,abstraction:NextStepPathway,R-HSA-140837,6.10426442720862
R-HSA-936964,abstraction:NextStepPathway,R-HSA-9824878,7.033800385832796
R-HSA-936964,abstraction:NextStepPathway,R-HSA-9013973,6.969261864695225
R-HSA-381070,abstraction:NextStepPathway,R-HSA-381038,5.126730070093747
R-HSA-9692916,abstraction:NextStepPathway,R-HSA-975155,5.242040916604741
R-HSA-9692916,abstraction:NextStepPathway,R-HSA-1834941,5.5223428817589
R-HSA-68877,abstraction:NextStepPathway,R-HSA-9648025,4.582795287720477
R-HSA-68877,abstraction:NextStepPathway,R-HSA-2500257,4.582795287720477
R-HSA-174414,abstraction:NextStepPathway,R-HSA-174437,6.27611468413528
R-HSA-174414,abstraction:NextStepPathway,R-HSA-174417,5.891702985224947
R-HSA-9683686,abstraction:NextStepPathway,R-HSA-9679509,6.969261864695225
R-HSA-166058,abstraction:NextStepPathway,R-HSA-937039,5.790606868353579
R-HSA-166058,abstraction:NextStepPathway,R-HSA-975871,5.790606868353579
R-HSA-166058,abstraction:NextStepPathway,R-HSA-975138,5.790606868353579
R-HSA-166058,abstraction:NextStepPathway,R-HSA-975144,5.790606868353579
R-HSA-166058,abstraction:NextStepPathway,R-HSA-937042,5.790606868353579
R-HSA-168928,abstraction:NextStepPathway,R-HSA-9833109,5.6309767227616945
R-HSA-168928,abstraction:NextStepPathway,R-HSA-918233,5.85003028882438
R-HSA-168928,abstraction:NextStepPathway,R-HSA-933543,5.85003028882438
R-HSA-168928,abstraction:NextStepPathway,R-HSA-936440,5.85003028882438
R-HSA-168928,abstraction:NextStepPathway,R-HSA-9705671,4.92156902132997
R-HSA-1181150,abstraction:NextStepPathway,R-HSA-1433617,7.43926549394096
R-HSA-1181150,abstraction:NextStepPathway,R-HSA-9617828,6.27611468413528
R-HSA-1181150,abstraction:NextStepPathway,R-HSA-2173789,6.10426442720862
R-HSA-1181150,abstraction:NextStepPathway,R-HSA-1502540,6.969261864695225
R-HSA-1181150,abstraction:NextStepPathway,R-HSA-9823730,6.27611468413528
R-HSA-1181150,abstraction:NextStepPathway,R-HSA-2173796,6.27611468413528
R-HSA-1181150,abstraction:NextStepPathway,R-HSA-9796292,6.697328149211583
R-HSA-1181150,abstraction:NextStepPathway,R-HSA-8941855,6.90863724287879
R-HSA-1181150,abstraction:NextStepPathway,R-HSA-2173795,6.4096460767598025
R-HSA-1181150,abstraction:NextStepPathway,R-HSA-9754189,6.374554756948532
R-HSA-418592,abstraction:NextStepPathway,R-HSA-418217,7.256943937147006
R-HSA-418592,abstraction:NextStepPathway,R-HSA-8964315,7.343955314136636
R-HSA-418592,abstraction:NextStepPathway,R-HSA-416476,6.130932674290782
R-HSA-418592,abstraction:NextStepPathway,R-HSA-4086398,6.215490062318844
R-HSA-418592,abstraction:NextStepPathway,R-HSA-111995,6.90863724287879
R-HSA-418592,abstraction:NextStepPathway,R-HSA-392451,7.102793257319748
R-HSA-418592,abstraction:NextStepPathway,R-HSA-8964616,7.256943937147006
R-HSA-418592,abstraction:NextStepPathway,R-HSA-432142,6.797411607768566
R-HSA-75109,abstraction:NextStepPathway,R-HSA-1483166,5.771558673382884
R-HSA-388479,abstraction:NextStepPathway,R-HSA-9660821,6.797411607768566
R-HSA-388479,abstraction:NextStepPathway,R-HSA-432040,6.650808133576691
R-HSA-388479,abstraction:NextStepPathway,R-HSA-416476,6.0782889408053595
R-HSA-388479,abstraction:NextStepPathway,R-HSA-418555,6.4096460767598025
R-HSA-6804754,abstraction:NextStepPathway,R-HSA-8943724,6.27611468413528
R-HSA-6804754,abstraction:NextStepPathway,R-HSA-69541,5.935188097164686
R-HSA-6804754,abstraction:NextStepPathway,R-HSA-5693565,5.913209190445911
R-HSA-6804754,abstraction:NextStepPathway,R-HSA-6804757,6.374554756948532
R-HSA-6804754,abstraction:NextStepPathway,R-HSA-9833482,5.716498896199857
R-HSA-6804754,abstraction:NextStepPathway,R-HSA-6804759,7.1769012294734695
R-HSA-6804754,abstraction:NextStepPathway,R-HSA-5628897,5.398045165081323
R-HSA-6804754,abstraction:NextStepPathway,R-HSA-6804760,6.746118313381015
R-HSA-6804754,abstraction:NextStepPathway,R-HSA-6804756,5.567463317039369
R-HSA-6804754,abstraction:NextStepPathway,R-HSA-69473,5.8100249542106805
R-HSA-6804754,abstraction:NextStepPathway,R-HSA-8941855,7.343955314136636
R-HSA-6804754,abstraction:NextStepPathway,R-HSA-2559586,6.245343025468526
R-HSA-6804754,abstraction:NextStepPathway,R-HSA-2559580,6.0782889408053595
R-HSA-68616,abstraction:NextStepPathway,R-HSA-113507,7.1769012294734695
R-HSA-381771,abstraction:NextStepPathway,R-HSA-420092,6.245343025468526
R-HSA-381771,abstraction:NextStepPathway,R-HSA-381676,6.245343025468526
R-HSA-211981,abstraction:NextStepPathway,R-HSA-156590,5.2875032906814985
R-HSA-181429,abstraction:NextStepPathway,R-HSA-390666,6.90863724287879
R-HSA-181429,abstraction:NextStepPathway,R-HSA-212676,6.797411607768566
R-HSA-181429,abstraction:NextStepPathway,R-HSA-181430,6.522974762066806
R-HSA-70350,abstraction:NextStepPathway,R-HSA-70171,5.372402734467984
R-HSA-71064,abstraction:NextStepPathway,R-HSA-9856872,5.790606868353579
R-HSA-71064,abstraction:NextStepPathway,R-HSA-1442490,5.790606868353579
R-HSA-71064,abstraction:NextStepPathway,R-HSA-77352,5.752866540370732
R-HSA-71064,abstraction:NextStepPathway,R-HSA-9858328,5.957660953016745
R-HSA-71064,abstraction:NextStepPathway,R-HSA-8963693,5.598715860543473
R-HSA-69166,abstraction:NextStepPathway,R-HSA-69183,6.797411607768566
R-HSA-390247,abstraction:NextStepPathway,R-HSA-9856872,5.870649576027115
R-HSA-390247,abstraction:NextStepPathway,R-HSA-389887,5.698799319100456
R-HSA-375165,abstraction:NextStepPathway,R-HSA-111932,6.522974762066806
R-HSA-375165,abstraction:NextStepPathway,R-HSA-9031628,5.8100249542106805
R-HSA-375165,abstraction:NextStepPathway,R-HSA-9634638,6.245343025468526
R-HSA-375165,abstraction:NextStepPathway,R-HSA-199920,6.697328149211583
R-HSA-375165,abstraction:NextStepPathway,R-HSA-5673001,5.097459687793633
R-HSA-375165,abstraction:NextStepPathway,R-HSA-111931,6.483754048913524
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-5263617,6.851478829038841
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-2408508,6.10426442720862
