previousPathwayAncestorID,interaction,nextPathwayAncestorID
R-HSA-2467813,abstraction:NextStepPathway,R-HSA-174154
R-HSA-2467813,abstraction:NextStepPathway,R-HSA-176409
R-HSA-2467813,abstraction:NextStepPathway,R-HSA-176814
R-HSA-2467813,abstraction:NextStepPathway,R-HSA-174143
R-HSA-2467813,abstraction:NextStepPathway,R-HSA-453276
R-HSA-68882,abstraction:NextStepPathway,R-HSA-174154
R-HSA-68882,abstraction:NextStepPathway,R-HSA-176409
R-HSA-68882,abstraction:NextStepPathway,R-HSA-176814
R-HSA-68882,abstraction:NextStepPathway,R-HSA-174143
R-HSA-68882,abstraction:NextStepPathway,R-HSA-453276
R-HSA-2555396,abstraction:NextStepPathway,R-HSA-174154
R-HSA-2555396,abstraction:NextStepPathway,R-HSA-176409
R-HSA-2555396,abstraction:NextStepPathway,R-HSA-176814
R-HSA-2555396,abstraction:NextStepPathway,R-HSA-174143
R-HSA-2555396,abstraction:NextStepPathway,R-HSA-453276
R-HSA-68886,abstraction:NextStepPathway,R-HSA-174154
R-HSA-68886,abstraction:NextStepPathway,R-HSA-176409
R-HSA-68886,abstraction:NextStepPathway,R-HSA-176814
R-HSA-68886,abstraction:NextStepPathway,R-HSA-174143
R-HSA-68886,abstraction:NextStepPathway,R-HSA-453276
R-HSA-174154,abstraction:NextStepPathway,R-HSA-2467813
R-HSA-174154,abstraction:NextStepPathway,R-HSA-68882
R-HSA-174154,abstraction:NextStepPathway,R-HSA-2555396
R-HSA-174154,abstraction:NextStepPathway,R-HSA-68886
R-HSA-176409,abstraction:NextStepPathway,R-HSA-2467813
R-HSA-176409,abstraction:NextStepPathway,R-HSA-68882
R-HSA-176409,abstraction:NextStepPathway,R-HSA-2555396
R-HSA-176409,abstraction:NextStepPathway,R-HSA-68886
R-HSA-176814,abstraction:NextStepPathway,R-HSA-2467813
R-HSA-176814,abstraction:NextStepPathway,R-HSA-68882
R-HSA-176814,abstraction:NextStepPathway,R-HSA-2555396
R-HSA-176814,abstraction:NextStepPathway,R-HSA-68886
R-HSA-174143,abstraction:NextStepPathway,R-HSA-2467813
R-HSA-174143,abstraction:NextStepPathway,R-HSA-68882
R-HSA-174143,abstraction:NextStepPathway,R-HSA-2555396
R-HSA-174143,abstraction:NextStepPathway,R-HSA-68886
R-HSA-453276,abstraction:NextStepPathway,R-HSA-2467813
R-HSA-453276,abstraction:NextStepPathway,R-HSA-68882
R-HSA-453276,abstraction:NextStepPathway,R-HSA-2555396
R-HSA-453276,abstraction:NextStepPathway,R-HSA-68886
R-HSA-174048,abstraction:NextStepPathway,R-HSA-176407
R-HSA-176409,abstraction:NextStepPathway,R-HSA-176407
R-HSA-176814,abstraction:NextStepPathway,R-HSA-176407
R-HSA-1433557,abstraction:NextStepPathway,R-HSA-6811558
R-HSA-1433557,abstraction:NextStepPathway,R-HSA-199418
R-HSA-1433557,abstraction:NextStepPathway,R-HSA-1257604
R-HSA-1433557,abstraction:NextStepPathway,R-HSA-9006925
R-HSA-9006934,abstraction:NextStepPathway,R-HSA-6811558
R-HSA-9006934,abstraction:NextStepPathway,R-HSA-199418
R-HSA-9006934,abstraction:NextStepPathway,R-HSA-1257604
R-HSA-9006934,abstraction:NextStepPathway,R-HSA-9006925
