Source,Interaction,Target
reactome:Pathway271,abstraction:NextStepPathway,reactome:Pathway1741
reactome:Pathway1861,abstraction:NextStepPathway,reactome:Pathway1429
reactome:Pathway1776,abstraction:NextStepPathway,reactome:Pathway1781
reactome:Pathway671,abstraction:NextStepPathway,reactome:Pathway672
reactome:Pathway1783,abstraction:NextStepPathway,reactome:Pathway247
reactome:Pathway134,abstraction:NextStepPathway,reactome:Pathway286
reactome:Pathway2365,abstraction:NextStepPathway,reactome:Pathway2559
reactome:Pathway2348,abstraction:NextStepPathway,reactome:Pathway2221
reactome:Pathway184,abstraction:NextStepPathway,reactome:Pathway444
reactome:Pathway1423,abstraction:NextStepPathway,reactome:Pathway1619
reactome:Pathway131,abstraction:NextStepPathway,reactome:Pathway1393
reactome:Pathway1555,abstraction:NextStepPathway,reactome:Pathway2728
reactome:Pathway2050,abstraction:NextStepPathway,reactome:Pathway2052
reactome:Pathway1780,abstraction:NextStepPathway,reactome:Pathway247
reactome:Pathway1433,abstraction:NextStepPathway,reactome:Pathway1439
reactome:Pathway2150,abstraction:NextStepPathway,reactome:Pathway2318
reactome:Pathway2028,abstraction:NextStepPathway,reactome:Pathway345
reactome:Pathway1604,abstraction:NextStepPathway,reactome:Pathway2325
reactome:Pathway1626,abstraction:NextStepPathway,reactome:Pathway1390
reactome:Pathway114,abstraction:NextStepPathway,reactome:Pathway2270
reactome:Pathway2099,abstraction:NextStepPathway,reactome:Pathway2222
reactome:Pathway2425,abstraction:NextStepPathway,reactome:Pathway2444
reactome:Pathway1429,abstraction:NextStepPathway,reactome:Pathway1642
reactome:Pathway537,abstraction:NextStepPathway,reactome:Pathway539
reactome:Pathway2556,abstraction:NextStepPathway,reactome:Pathway2550
reactome:Pathway255,abstraction:NextStepPathway,reactome:Pathway1210
reactome:Pathway2696,abstraction:NextStepPathway,reactome:Pathway2693
reactome:Pathway1801,abstraction:NextStepPathway,reactome:Pathway1774
reactome:Pathway1568,abstraction:NextStepPathway,reactome:Pathway1584
reactome:Pathway1568,abstraction:NextStepPathway,reactome:Pathway1588
reactome:Pathway1555,abstraction:NextStepPathway,reactome:Pathway1562
reactome:Pathway2486,abstraction:NextStepPathway,reactome:Pathway2485
reactome:Pathway1889,abstraction:NextStepPathway,reactome:Pathway1205
reactome:Pathway2068,abstraction:NextStepPathway,reactome:Pathway2066
reactome:Pathway1929,abstraction:NextStepPathway,reactome:Pathway1857
reactome:Pathway1584,abstraction:NextStepPathway,reactome:Pathway1677
reactome:Pathway286,abstraction:NextStepPathway,reactome:Pathway1537
reactome:Pathway2226,abstraction:NextStepPathway,reactome:Pathway2027
reactome:Pathway301,abstraction:NextStepPathway,reactome:Pathway306
reactome:Pathway179,abstraction:NextStepPathway,reactome:Pathway1529
reactome:Pathway1642,abstraction:NextStepPathway,reactome:Pathway1526
reactome:Pathway1201,abstraction:NextStepPathway,reactome:Pathway1205
reactome:Pathway469,abstraction:NextStepPathway,reactome:Pathway466
reactome:Pathway271,abstraction:NextStepPathway,reactome:Pathway279
reactome:Pathway1104,abstraction:NextStepPathway,reactome:Pathway1105
reactome:Pathway1672,abstraction:NextStepPathway,reactome:Pathway1670
reactome:Pathway1209,abstraction:NextStepPathway,reactome:Pathway2211
reactome:Pathway1520,abstraction:NextStepPathway,reactome:Pathway1234
reactome:Pathway248,abstraction:NextStepPathway,reactome:Pathway2555
reactome:Pathway2534,abstraction:NextStepPathway,reactome:Pathway70
reactome:Pathway2218,abstraction:NextStepPathway,reactome:Pathway1603
reactome:Pathway2099,abstraction:NextStepPathway,reactome:Pathway2100
reactome:Pathway1948,abstraction:NextStepPathway,reactome:Pathway1947
reactome:Pathway2548,abstraction:NextStepPathway,reactome:Pathway2383
reactome:Pathway1414,abstraction:NextStepPathway,reactome:Pathway1415
reactome:Pathway1927,abstraction:NextStepPathway,reactome:Pathway1862
reactome:Pathway1195,abstraction:NextStepPathway,reactome:Pathway1196
reactome:Pathway2317,abstraction:NextStepPathway,reactome:Pathway2150
reactome:Pathway1605,abstraction:NextStepPathway,reactome:Pathway1606
reactome:Pathway2279,abstraction:NextStepPathway,reactome:Pathway2265
reactome:Pathway1452,abstraction:NextStepPathway,reactome:Pathway1414
reactome:Pathway2203,abstraction:NextStepPathway,reactome:Pathway1234
reactome:Pathway1729,abstraction:NextStepPathway,reactome:Pathway1730
reactome:Pathway1382,abstraction:NextStepPathway,reactome:Pathway1350
reactome:Pathway1642,abstraction:NextStepPathway,reactome:Pathway286
reactome:Pathway2383,abstraction:NextStepPathway,reactome:Pathway2391
reactome:Pathway1973,abstraction:NextStepPathway,reactome:Pathway2050
reactome:Pathway39,abstraction:NextStepPathway,reactome:Pathway56
reactome:Pathway1480,abstraction:NextStepPathway,reactome:Pathway2610
reactome:Pathway2548,abstraction:NextStepPathway,reactome:Pathway248
reactome:Pathway1536,abstraction:NextStepPathway,reactome:Pathway2204
reactome:Pathway2028,abstraction:NextStepPathway,reactome:Pathway344
reactome:Pathway1387,abstraction:NextStepPathway,reactome:Pathway250
reactome:Pathway1697,abstraction:NextStepPathway,reactome:Pathway2541
reactome:Pathway2757,abstraction:NextStepPathway,reactome:Pathway2758
reactome:Pathway2247,abstraction:NextStepPathway,reactome:Pathway2236
reactome:Pathway1775,abstraction:NextStepPathway,reactome:Pathway1896
reactome:Pathway2617,abstraction:NextStepPathway,reactome:Pathway1101
reactome:Pathway2303,abstraction:NextStepPathway,reactome:Pathway2302
reactome:Pathway1924,abstraction:NextStepPathway,reactome:Pathway2796
reactome:Pathway2525,abstraction:NextStepPathway,reactome:Pathway2524
reactome:Pathway2134,abstraction:NextStepPathway,reactome:Pathway2060
reactome:Pathway2515,abstraction:NextStepPathway,reactome:Pathway2516
reactome:Pathway2773,abstraction:NextStepPathway,reactome:Pathway1427
reactome:Pathway1896,abstraction:NextStepPathway,reactome:Pathway1824
reactome:Pathway524,abstraction:NextStepPathway,reactome:Pathway1533
reactome:Pathway134,abstraction:NextStepPathway,reactome:Pathway2030
reactome:Pathway1205,abstraction:NextStepPathway,reactome:Pathway1832
reactome:Pathway1861,abstraction:NextStepPathway,reactome:Pathway1856
reactome:Pathway172,abstraction:NextStepPathway,reactome:Pathway1533
reactome:Pathway1851,abstraction:NextStepPathway,reactome:Pathway524
reactome:Pathway1861,abstraction:NextStepPathway,reactome:Pathway1754
reactome:Pathway2296,abstraction:NextStepPathway,reactome:Pathway269
