pathwayName,nextName,tag
Signaling by Erythropoietin,Signaling by Erythropoietin,NextStepParentPathway
KEAP1-NFE2L2 pathway,Nuclear events mediated by NFE2L2,NextStepParentPathway
Nuclear events mediated by NFE2L2,Nuclear events mediated by NFE2L2,NextStepParentPathway
TP53 Regulates Metabolic Genes,Nuclear events mediated by NFE2L2,NextStepParentPathway
Detoxification of Reactive Oxygen Species,Nuclear events mediated by NFE2L2,NextStepParentPathway
Regulation of BACH1 activity,Nuclear events mediated by NFE2L2,NextStepParentPathway
Interconversion of nucleotide di- and triphosphates,Nuclear events mediated by NFE2L2,NextStepParentPathway
Activated NOTCH1 Transmits Signal to the Nucleus,Nuclear events mediated by NFE2L2,NextStepParentPathway
Chylomicron clearance,Lipoprotein metabolism,NextStepParentPathway
VLDL assembly,Lipoprotein metabolism,NextStepParentPathway
LDL clearance,Lipoprotein metabolism,NextStepParentPathway
Chylomicron remodeling,Lipoprotein metabolism,NextStepParentPathway
HDL assembly,Lipoprotein metabolism,NextStepParentPathway
LDL remodeling,Lipoprotein metabolism,NextStepParentPathway
ABC transporters in lipid homeostasis,Lipoprotein metabolism,NextStepParentPathway
HDL remodeling,Lipoprotein metabolism,NextStepParentPathway
Assembly of active LPL and LIPC lipase complexes,Lipoprotein metabolism,NextStepParentPathway
Chylomicron assembly,Lipoprotein metabolism,NextStepParentPathway
Phase I - Functionalization of compounds,Lipoprotein metabolism,NextStepParentPathway
HDL clearance,Lipoprotein metabolism,NextStepParentPathway
eNOS activation,Metabolism of cofactors,NextStepParentPathway
VEGFR2 mediated vascular permeability,Metabolism of cofactors,NextStepParentPathway
Iron uptake and transport,Metabolism of cofactors,NextStepParentPathway
Organic cation transport,Metabolism of cofactors,NextStepParentPathway
Tyrosine catabolism,Metabolism of cofactors,NextStepParentPathway
Acetylcholine regulates insulin secretion,Free fatty acids regulate insulin secretion,NextStepParentPathway
G1/S-Specific Transcription,Assembly of the pre-replicative complex,NextStepParentPathway
Transcription of E2F targets under negative control by DREAM complex,Assembly of the pre-replicative complex,NextStepParentPathway
Telomere C-strand synthesis initiation,Telomere C-strand (Lagging Strand) Synthesis,NextStepParentPathway
Polymerase switching on the C-strand of the telomere,Telomere C-strand (Lagging Strand) Synthesis,NextStepParentPathway
Removal of the Flap Intermediate from the C-strand,Telomere C-strand (Lagging Strand) Synthesis,NextStepParentPathway
Processive synthesis on the C-strand of the telomere,Telomere C-strand (Lagging Strand) Synthesis,NextStepParentPathway
Telomere Extension By Telomerase,Telomere C-strand (Lagging Strand) Synthesis,NextStepParentPathway
FLT3 Signaling,FLT3 Signaling,NextStepParentPathway
Phospholipase C-mediated cascade; FGFR3,VEGFA-VEGFR2 Pathway,NextStepParentPathway
PLC-gamma1 signalling,VEGFA-VEGFR2 Pathway,NextStepParentPathway
VEGFA-VEGFR2 Pathway,VEGFA-VEGFR2 Pathway,NextStepParentPathway
Generation of second messenger molecules,VEGFA-VEGFR2 Pathway,NextStepParentPathway
Effects of PIP2 hydrolysis,VEGFA-VEGFR2 Pathway,NextStepParentPathway
G beta:gamma signalling through PLC beta,VEGFA-VEGFR2 Pathway,NextStepParentPathway
Acetylcholine regulates insulin secretion,VEGFA-VEGFR2 Pathway,NextStepParentPathway
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,VEGFA-VEGFR2 Pathway,NextStepParentPathway
Phospholipase C-mediated cascade; FGFR2,VEGFA-VEGFR2 Pathway,NextStepParentPathway
FCERI mediated Ca+2 mobilization,VEGFA-VEGFR2 Pathway,NextStepParentPathway
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,VEGFA-VEGFR2 Pathway,NextStepParentPathway
PLC beta mediated events,VEGFA-VEGFR2 Pathway,NextStepParentPathway
FCGR3A-mediated IL10 synthesis,VEGFA-VEGFR2 Pathway,NextStepParentPathway
