pathwayID,interaction,nextPathwayID,tag
R-HSA-1474151,abstraction:NextStepPathway,R-HSA-9009391,orignal
R-HSA-1474151,abstraction:NextStepPathway,R-HSA-203615,orignal
R-HSA-1474151,abstraction:NextStepPathway,R-HSA-5218920,orignal
R-HSA-434313,abstraction:NextStepPathway,R-HSA-200425,orignal
R-HSA-174411,abstraction:NextStepPathway,R-HSA-174414,orignal
R-HSA-1912399,abstraction:NextStepPathway,R-HSA-1912420,orignal
R-HSA-429947,abstraction:NextStepPathway,R-HSA-9820865,orignal
R-HSA-429947,abstraction:NextStepPathway,R-HSA-429958,orignal
R-HSA-429947,abstraction:NextStepPathway,R-HSA-430039,orignal
R-HSA-72649,abstraction:NextStepPathway,R-HSA-72702,orignal
R-HSA-72649,abstraction:NextStepPathway,R-HSA-156827,orignal
R-HSA-5654227,abstraction:NextStepPathway,R-HSA-2029485,orignal
R-HSA-5654227,abstraction:NextStepPathway,R-HSA-5218921,orignal
R-HSA-5654227,abstraction:NextStepPathway,R-HSA-1489509,orignal
R-HSA-111458,abstraction:NextStepPathway,R-HSA-9627069,orignal
R-HSA-111458,abstraction:NextStepPathway,R-HSA-111459,orignal
R-HSA-977443,abstraction:NextStepPathway,R-HSA-1236394,orignal
R-HSA-1855167,abstraction:NextStepPathway,R-HSA-1855184,orignal
R-HSA-1855167,abstraction:NextStepPathway,R-HSA-5675482,orignal
R-HSA-1855167,abstraction:NextStepPathway,R-HSA-1855229,orignal
R-HSA-425410,abstraction:NextStepPathway,R-HSA-1222556,orignal
R-HSA-425410,abstraction:NextStepPathway,R-HSA-917937,orignal
R-HSA-425410,abstraction:NextStepPathway,R-HSA-6803544,orignal
R-HSA-166665,abstraction:NextStepPathway,R-HSA-977606,orignal
R-HSA-5358346,abstraction:NextStepPathway,R-HSA-5362798,orignal
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-2408508,orignal
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-5263617,orignal
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-2408550,orignal
R-HSA-2408499,abstraction:NextStepPathway,R-HSA-2408552,orignal
R-HSA-209931,abstraction:NextStepPathway,R-HSA-181429,orignal
R-HSA-9707587,abstraction:NextStepPathway,R-HSA-917937,orignal
R-HSA-9707587,abstraction:NextStepPathway,R-HSA-9707564,orignal
R-HSA-9707587,abstraction:NextStepPathway,R-HSA-189483,orignal
R-HSA-167021,abstraction:NextStepPathway,R-HSA-2029485,orignal
R-HSA-167021,abstraction:NextStepPathway,R-HSA-5218921,orignal
R-HSA-167021,abstraction:NextStepPathway,R-HSA-1489509,orignal
R-HSA-2142770,abstraction:NextStepPathway,R-HSA-2142700,orignal
R-HSA-390247,abstraction:NextStepPathway,R-HSA-9856872,orignal
R-HSA-390247,abstraction:NextStepPathway,R-HSA-389887,orignal
R-HSA-196783,abstraction:NextStepPathway,R-HSA-199220,orignal
R-HSA-211994,abstraction:NextStepPathway,R-HSA-193368,orignal
R-HSA-211994,abstraction:NextStepPathway,R-HSA-193775,orignal
R-HSA-211994,abstraction:NextStepPathway,R-HSA-193807,orignal
R-HSA-9013700,abstraction:NextStepPathway,R-HSA-9013695,orignal
R-HSA-9013700,abstraction:NextStepPathway,R-HSA-9604323,orignal
R-HSA-3322077,abstraction:NextStepPathway,R-HSA-379716,orignal
R-HSA-3322077,abstraction:NextStepPathway,R-HSA-71737,orignal
R-HSA-3322077,abstraction:NextStepPathway,R-HSA-173599,orignal
R-HSA-5357956,abstraction:NextStepPathway,R-HSA-5357905,orignal
R-HSA-9758920,abstraction:NextStepPathway,R-HSA-9793380,orignal
R-HSA-72706,abstraction:NextStepPathway,R-HSA-156902,orignal
R-HSA-72706,abstraction:NextStepPathway,R-HSA-72731,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-5654726,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-5675221,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-2559582,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-2871796,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-2559585,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-9634638,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-2559580,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-8940973,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-5654732,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-881907,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-450341,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-170968,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-444257,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-112409,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-5673000,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-375165,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-5654727,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-198753,orignal
R-HSA-5673001,abstraction:NextStepPathway,R-HSA-5654733,orignal
R-HSA-1307965,abstraction:NextStepPathway,R-HSA-5654719,orignal
R-HSA-1307965,abstraction:NextStepPathway,R-HSA-5654712,orignal
R-HSA-1307965,abstraction:NextStepPathway,R-HSA-5654228,orignal
R-HSA-8963896,abstraction:NextStepPathway,R-HSA-8964058,orignal
R-HSA-113418,abstraction:NextStepPathway,R-HSA-674695,orignal
R-HSA-113418,abstraction:NextStepPathway,R-HSA-112382,orignal
R-HSA-163765,abstraction:NextStepPathway,R-HSA-75105,orignal
R-HSA-163765,abstraction:NextStepPathway,R-HSA-200425,orignal
R-HSA-163765,abstraction:NextStepPathway,R-HSA-70171,orignal
R-HSA-163765,abstraction:NextStepPathway,R-HSA-70268,orignal
R-HSA-163765,abstraction:NextStepPathway,R-HSA-1483166,orignal
R-HSA-163765,abstraction:NextStepPathway,R-HSA-199220,orignal
R-HSA-163765,abstraction:NextStepPathway,R-HSA-196780,orignal
R-HSA-170660,abstraction:NextStepPathway,R-HSA-180024,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9634638,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9664323,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-442720,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9022692,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-111932,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9616222,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-163358,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9031628,orignal
R-HSA-111931,abstraction:NextStepPathway,R-HSA-9660821,orignal
R-HSA-9840309,abstraction:NextStepPathway,R-HSA-9845576,orignal
R-HSA-69206,abstraction:NextStepPathway,R-HSA-69239,orignal
R-HSA-8866910,abstraction:NextStepPathway,R-HSA-209822,orignal
R-HSA-1660514,abstraction:NextStepPathway,R-HSA-1660510,orignal
R-HSA-379716,abstraction:NextStepPathway,R-HSA-72695,orignal
R-HSA-5223345,abstraction:NextStepPathway,R-HSA-70921,orignal
R-HSA-1679131,abstraction:NextStepPathway,R-HSA-168138,orignal
R-HSA-9954716,abstraction:NextStepPathway,R-HSA-9954709,orignal
R-HSA-611105,abstraction:NextStepPathway,R-HSA-5628897,orignal
R-HSA-611105,abstraction:NextStepPathway,R-HSA-9707564,orignal
R-HSA-611105,abstraction:NextStepPathway,R-HSA-166187,orignal
R-HSA-611105,abstraction:NextStepPathway,R-HSA-167826,orignal
R-HSA-611105,abstraction:NextStepPathway,R-HSA-163210,orignal
R-HSA-159231,abstraction:NextStepPathway,R-HSA-72662,orignal
R-HSA-1650814,abstraction:NextStepPathway,R-HSA-8948216,orignal
R-HSA-1650814,abstraction:NextStepPathway,R-HSA-2022090,orignal
R-HSA-190861,abstraction:NextStepPathway,R-HSA-190827,orignal
R-HSA-190861,abstraction:NextStepPathway,R-HSA-190704,orignal
R-HSA-6784531,abstraction:NextStepPathway,R-HSA-6782315,orignal
R-HSA-180897,abstraction:NextStepPathway,R-HSA-111457,orignal
