previousPathwayAncestorID,interaction,nextPathwayAncestorID,tag
R-HSA-2467813,abstraction:NextStepPathway,R-HSA-174154,inferred
R-HSA-2467813,abstraction:NextStepPathway,R-HSA-176409,inferred
R-HSA-2467813,abstraction:NextStepPathway,R-HSA-176814,inferred
R-HSA-2467813,abstraction:NextStepPathway,R-HSA-174143,inferred
R-HSA-2467813,abstraction:NextStepPathway,R-HSA-453276,inferred
R-HSA-68882,abstraction:NextStepPathway,R-HSA-174154,inferred
R-HSA-68882,abstraction:NextStepPathway,R-HSA-176409,inferred
R-HSA-68882,abstraction:NextStepPathway,R-HSA-176814,inferred
R-HSA-68882,abstraction:NextStepPathway,R-HSA-174143,inferred
R-HSA-68882,abstraction:NextStepPathway,R-HSA-453276,inferred
R-HSA-2555396,abstraction:NextStepPathway,R-HSA-174154,inferred
R-HSA-2555396,abstraction:NextStepPathway,R-HSA-176409,inferred
R-HSA-2555396,abstraction:NextStepPathway,R-HSA-176814,inferred
R-HSA-2555396,abstraction:NextStepPathway,R-HSA-174143,inferred
R-HSA-2555396,abstraction:NextStepPathway,R-HSA-453276,inferred
R-HSA-68886,abstraction:NextStepPathway,R-HSA-174154,inferred
R-HSA-68886,abstraction:NextStepPathway,R-HSA-176409,inferred
R-HSA-68886,abstraction:NextStepPathway,R-HSA-176814,inferred
R-HSA-68886,abstraction:NextStepPathway,R-HSA-174143,inferred
R-HSA-68886,abstraction:NextStepPathway,R-HSA-453276,inferred
R-HSA-174154,abstraction:NextStepPathway,R-HSA-2467813,inferred
R-HSA-174154,abstraction:NextStepPathway,R-HSA-68882,inferred
R-HSA-174154,abstraction:NextStepPathway,R-HSA-2555396,inferred
R-HSA-174154,abstraction:NextStepPathway,R-HSA-68886,inferred
R-HSA-176409,abstraction:NextStepPathway,R-HSA-2467813,inferred
R-HSA-176409,abstraction:NextStepPathway,R-HSA-68882,inferred
R-HSA-176409,abstraction:NextStepPathway,R-HSA-2555396,inferred
R-HSA-176409,abstraction:NextStepPathway,R-HSA-68886,inferred
R-HSA-176814,abstraction:NextStepPathway,R-HSA-2467813,inferred
R-HSA-176814,abstraction:NextStepPathway,R-HSA-68882,inferred
R-HSA-176814,abstraction:NextStepPathway,R-HSA-2555396,inferred
R-HSA-176814,abstraction:NextStepPathway,R-HSA-68886,inferred
R-HSA-174143,abstraction:NextStepPathway,R-HSA-2467813,inferred
R-HSA-174143,abstraction:NextStepPathway,R-HSA-68882,inferred
R-HSA-174143,abstraction:NextStepPathway,R-HSA-2555396,inferred
R-HSA-174143,abstraction:NextStepPathway,R-HSA-68886,inferred
R-HSA-453276,abstraction:NextStepPathway,R-HSA-2467813,inferred
R-HSA-453276,abstraction:NextStepPathway,R-HSA-68882,inferred
R-HSA-453276,abstraction:NextStepPathway,R-HSA-2555396,inferred
R-HSA-453276,abstraction:NextStepPathway,R-HSA-68886,inferred
R-HSA-174048,abstraction:NextStepPathway,R-HSA-176407,inferred
R-HSA-176409,abstraction:NextStepPathway,R-HSA-176407,inferred
R-HSA-176814,abstraction:NextStepPathway,R-HSA-176407,inferred
R-HSA-1433557,abstraction:NextStepPathway,R-HSA-6811558,inferred
R-HSA-1433557,abstraction:NextStepPathway,R-HSA-199418,inferred
R-HSA-1433557,abstraction:NextStepPathway,R-HSA-1257604,inferred
R-HSA-1433557,abstraction:NextStepPathway,R-HSA-9006925,inferred
R-HSA-9006934,abstraction:NextStepPathway,R-HSA-6811558,inferred
R-HSA-9006934,abstraction:NextStepPathway,R-HSA-199418,inferred
R-HSA-9006934,abstraction:NextStepPathway,R-HSA-1257604,inferred
R-HSA-9006934,abstraction:NextStepPathway,R-HSA-9006925,inferred
R-HSA-70221,abstraction:NextStepPathway,R-HSA-70370,inferred
R-HSA-8982491,abstraction:NextStepPathway,R-HSA-70370,inferred
R-HSA-70221,abstraction:NextStepPathway,R-HSA-3322077,inferred
R-HSA-70221,abstraction:NextStepPathway,R-HSA-173599,inferred
R-HSA-70221,abstraction:NextStepPathway,R-HSA-156588,inferred
R-HSA-70221,abstraction:NextStepPathway,R-HSA-156580,inferred
R-HSA-70221,abstraction:NextStepPathway,R-HSA-211859,inferred
R-HSA-8982491,abstraction:NextStepPathway,R-HSA-173599,inferred
R-HSA-8982491,abstraction:NextStepPathway,R-HSA-156588,inferred
R-HSA-8982491,abstraction:NextStepPathway,R-HSA-156580,inferred
R-HSA-8982491,abstraction:NextStepPathway,R-HSA-211859,inferred
R-HSA-71387,abstraction:NextStepPathway,R-HSA-173599,inferred
R-HSA-71387,abstraction:NextStepPathway,R-HSA-156588,inferred
R-HSA-71387,abstraction:NextStepPathway,R-HSA-156580,inferred
R-HSA-71387,abstraction:NextStepPathway,R-HSA-211859,inferred
