source,interaction,target,weight
R-HSA-8877627,abstraction:IsAComponentOf,R-HSA-6806667,0
R-HSA-6806664,abstraction:IsAComponentOf,R-HSA-6806667,0
R-HSA-975634,abstraction:IsAComponentOf,R-HSA-6806667,0
R-HSA-1296041,abstraction:IsAComponentOf,R-HSA-1296059,0
R-HSA-190241,abstraction:IsAComponentOf,R-HSA-5654738,0.6538403290274848
R-HSA-5654696,abstraction:IsAComponentOf,R-HSA-5654738,0.6912697098046562
R-HSA-6803529,abstraction:IsAComponentOf,R-HSA-5654738,0
R-HSA-5654727,abstraction:IsAComponentOf,R-HSA-5654738,0.6202560430595958
R-HSA-9705683,abstraction:IsAComponentOf,R-HSA-9694516,0.7377042649708198
R-HSA-9772573,abstraction:IsAComponentOf,R-HSA-9694516,0.7789329869075431
R-HSA-9772572,abstraction:IsAComponentOf,R-HSA-9694516,0.7607544153860494
R-HSA-9672393,abstraction:IsAComponentOf,R-HSA-9662001,0
R-HSA-9672391,abstraction:IsAComponentOf,R-HSA-9662001,0
R-HSA-9672396,abstraction:IsAComponentOf,R-HSA-9662001,0
R-HSA-9672387,abstraction:IsAComponentOf,R-HSA-9662001,0
R-HSA-9672395,abstraction:IsAComponentOf,R-HSA-9662001,0
R-HSA-9672397,abstraction:IsAComponentOf,R-HSA-9662001,0
R-HSA-9674519,abstraction:IsAComponentOf,R-HSA-9662001,0
R-HSA-8964208,abstraction:IsAComponentOf,R-HSA-8963691,0
R-HSA-8963684,abstraction:IsAComponentOf,R-HSA-8963691,0
R-HSA-162599,abstraction:IsAComponentOf,R-HSA-162587,0.8569218412238104
R-HSA-162594,abstraction:IsAComponentOf,R-HSA-162587,0.7902385114969109
R-HSA-1839122,abstraction:IsAComponentOf,R-HSA-1839124,0
R-HSA-1839117,abstraction:IsAComponentOf,R-HSA-1839124,0
R-HSA-1839120,abstraction:IsAComponentOf,R-HSA-1839124,0
R-HSA-8853336,abstraction:IsAComponentOf,R-HSA-1839124,0
R-HSA-9840309,abstraction:IsAComponentOf,R-HSA-1660662,0
R-HSA-9840310,abstraction:IsAComponentOf,R-HSA-1660662,0
R-HSA-9700649,abstraction:IsAComponentOf,R-HSA-9700206,0.4877362121115561
R-HSA-9725370,abstraction:IsAComponentOf,R-HSA-9700206,0.41740522092931953
R-HSA-9700645,abstraction:IsAComponentOf,R-HSA-9700206,0
